Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
FIRROP,2013,1.557,0.12,21.21,0.052,1.13,4.53,4.009,3D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FIRROP
KEMNAT,2013,1.198,0.22,81.21,0.128,1.13,4.51,3.991,1D,[1.1-1.2),[0.2-0.3),[50-100),[0.1-0.2),[0.7-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEMNAT
KETYOZ,2013,1.567,0.124,21.31,0.055,1.14,4.54,3.982,3D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KETYOZ
KIPZIU,2013,1.486,0.242,17.19,0.124,1.14,4.58,4.018,3D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.5-4.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIPZIU
REQCUN,2013,1.525,0.17,25.47,0.102,1.14,4.54,3.982,2D,[1.5-1.6),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=REQCUN
YEHDAS,2013,1.928,0.087,29.22,0.039,1.15,4.59,3.991,3D,[1.8-2.0),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEHDAS
HIHVEB,2013,1.367,0.166,48.2,0.092,1.16,4.64,4,3D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.6-4.8),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HIHVEB
FIPVEH,2013,1.391,0.131,44.01,0.063,1.18,4.73,4.008,2D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.6-4.8),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FIPVEH
TELFAT,2013,1.661,0.055,8.17,0.019,1.18,4.7,3.983,1D,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.6-4.8),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TELFAT
XENKIM,2013,1.18,0.276,344.31,0.18,1.18,6.69,5.669,3D,[1.1-1.2),[0.2-0.3),[300-400),[0.1-0.2),[0.7-1.4),[6.5-7.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XENKIM
DITWIO,2013,1.294,0.179,64.52,0.1,1.18,4.73,4.008,3D,[1.2-1.3),[0.1-0.2),[50-100),[0.1-0.2),[0.7-1.4),[4.6-4.8),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DITWIO
KETDOE,2013,1.381,0.25,91.39,0.121,1.18,4.74,4.017,3D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[0.7-1.4),[4.6-4.8),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KETDOE
CIBJEE,2013,1.966,0.165,103.63,0.068,1.19,4.75,3.992,3D,[1.8-2.0),[0.1-0.2),[100-150),[0.0-0.1),[0.7-1.4),[4.6-4.8),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CIBJEE
DINNIZ,2013,1.382,0.164,105.54,0.091,1.2,4.82,4.017,3D,[1.3-1.4),[0.1-0.2),[100-150),[0.0-0.1),[0.7-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DINNIZ
PIBJIV,2013,1.374,0.236,134.57,0.13,1.2,4.82,4.017,2D,[1.3-1.4),[0.2-0.3),[100-150),[0.1-0.2),[0.7-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PIBJIV
WIDZIU,2013,1.373,0.321,147.19,0.168,1.2,4.82,4.017,3D,[1.3-1.4),[0.3-0.4),[100-150),[0.1-0.2),[0.7-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WIDZIU
CIRVUW,2013,1.324,0.198,52.38,0.104,1.2,4.8,4,1D,[1.3-1.4),[0.1-0.2),[50-100),[0.1-0.2),[0.7-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CIRVUW
IDINIU,2013,1.479,0.168,103.64,0.093,1.21,4.83,3.992,2D,[1.4-1.5),[0.1-0.2),[100-150),[0.0-0.1),[0.7-1.4),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IDINIU
CIRWAD,2013,1.324,0.199,53.18,0.108,1.21,4.82,3.983,1D,[1.3-1.4),[0.1-0.2),[50-100),[0.1-0.2),[0.7-1.4),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CIRWAD
NINDEV,2013,1.32,0.227,57.91,0.123,1.21,4.86,4.017,3D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[0.7-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NINDEV
TELFEX,2013,1.482,0.071,9.14,0.022,1.22,4.87,3.992,3D,[1.4-1.5),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TELFEX
EDEPAG,2013,1.778,0.146,0.05,0.061,1.23,4.03,3.276,3D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EDEPAG
CICLEH,2013,1.205,0.286,133.15,0.18,1.23,4.91,3.992,3D,[1.2-1.3),[0.2-0.3),[100-150),[0.1-0.2),[0.7-1.4),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CICLEH
CIHLUC,2013,1.608,0.107,1.39,0.032,1.24,4.04,3.258,3D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CIHLUC
TEJWAI,2013,1.234,0.175,0.78,0.096,1.24,4.06,3.274,3D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEJWAI
XIHXUJ,2013,1.487,0.16,56.09,0.079,1.25,5.01,4.008,1D,[1.4-1.5),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[5.0-5.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XIHXUJ
DIFXOH,2013,1.302,0.234,6.75,0.136,1.26,4.13,3.278,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DIFXOH
LETNIJ,2013,1.485,0.194,2.67,0.097,1.26,4.13,3.278,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LETNIJ
LETNOP,2013,1.472,0.192,2.47,0.099,1.26,4.12,3.27,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LETNOP
ZESJEO,2013,1.464,0.134,0.15,0.078,1.26,4.11,3.262,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZESJEO
FEXFUL,2013,1.139,0.318,212.43,0.206,1.26,5.06,4.016,2D,[1.1-1.2),[0.3-0.4),[200-300),[0.2-0.3),[0.7-1.4),[5.0-5.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEXFUL
PEJWUY,2013,1.593,0.109,3.02,0.034,1.27,4.16,3.276,3D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEJWUY
ZICTEM,2013,1.338,0.207,45.68,0.056,1.27,5.09,4.008,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.0-0.1),[0.7-1.4),[5.0-5.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZICTEM
SICDEP,2013,1.408,0.185,7.66,0.089,1.28,4.18,3.266,3D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SICDEP
KETDUK,2013,1.366,0.333,187.06,0.175,1.28,5.12,4,3D,[1.3-1.4),[0.3-0.4),[150-200),[0.1-0.2),[0.7-1.4),[5.0-5.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KETDUK
TEXHOV,2013,1.435,0.205,203.86,0.117,1.28,5.89,4.602,3D,[1.4-1.5),[0.2-0.3),[200-300),[0.1-0.2),[0.7-1.4),[5.6-6.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TEXHOV
PITHUX,2013,1.623,0.189,79.77,0.093,1.28,5.12,4,2D,[1.6-1.8),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[5.0-5.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PITHUX
ZETLAN,2013,1.215,0.33,341.07,0.201,1.29,5.95,4.612,1D,[1.2-1.3),[0.3-0.4),[300-400),[0.2-0.3),[0.7-1.4),[5.6-6.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZETLAN
GEWNAZ01,2013,1.168,0.207,26.98,0.124,1.3,4.26,3.277,2D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEWNAZ01
GEWNAZ,2013,1.22,0.198,14.96,0.109,1.3,4.23,3.254,2D,[1.2-1.3),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEWNAZ
REYBEE,2013,1.32,0.148,23.09,0.079,1.3,4.24,3.262,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=REYBEE
FENTOJ,2013,1.389,0.139,84.97,0.068,1.3,5.18,3.985,3D,[1.3-1.4),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FENTOJ
LETNAB,2013,1.443,0.205,15.65,0.11,1.31,4.28,3.267,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LETNAB
VIFBUJ,2013,2.335,0.141,41.56,0.054,1.31,5.23,3.992,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIFBUJ
WITBOS,2013,3.075,0.144,32.53,0.039,1.31,5.22,3.985,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WITBOS
LETNEF,2013,1.456,0.206,13.84,0.109,1.32,4.3,3.258,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LETNEF
SIWTAV,2013,1.325,0.356,244.45,0.204,1.32,5.27,3.992,1D,[1.3-1.4),[0.3-0.4),[200-300),[0.2-0.3),[0.7-1.4),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIWTAV
CETFEO,2013,1.312,0.15,10.65,0.077,1.33,4.34,3.263,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CETFEO
LELNEX,2013,1.364,0.183,19.82,0.124,1.33,4.34,3.263,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LELNEX
NEKTEE,2013,1.229,0.26,21.44,0.144,1.33,4.35,3.271,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEKTEE
YINDOQ,2013,1.505,0.143,4.31,0.067,1.33,4.33,3.256,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YINDOQ
CIJTEW,2013,1.341,0.163,17.15,0.085,1.34,4.37,3.261,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CIJTEW
PEQLAA,2013,1.385,0.172,12.57,0.075,1.34,4.38,3.269,2D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEQLAA
RIPKAE,2013,1.59,0.133,42.35,0.051,1.34,5.37,4.007,2D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[5.3-5.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RIPKAE
SIVTAU,2013,1.061,0.191,23.82,0.121,1.35,4.4,3.259,3D,[1.0-1.1),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[4.4-4.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIVTAU
SIXRIC,2013,1.421,0.095,21.52,0.04,1.35,4.39,3.252,1D,[1.4-1.5),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIXRIC
LERFAR,2013,1.415,0.171,28.61,0.078,1.37,4.46,3.255,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LERFAR
DIPRUR,2013,1.292,0.295,55.25,0.148,1.37,4.47,3.263,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[0.7-1.4),[4.4-4.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DIPRUR
KEZXEU,2013,1.095,0.176,38.84,0.105,1.38,4.52,3.275,2D,[1.0-1.1),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEZXEU
KIQDEV,2013,1.158,0.206,41.53,0.12,1.39,4.53,3.259,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIQDEV
RESYOF,2013,1.225,0.269,273.74,0.181,1.39,5.58,4.014,3D,[1.2-1.3),[0.2-0.3),[200-300),[0.1-0.2),[0.7-1.4),[5.3-5.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RESYOF
BEPXAX,2013,1.573,0.116,21.36,0.05,1.4,4.57,3.264,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEPXAX
NIFNEX,2013,1.453,0.132,49.06,0.068,1.4,4.58,3.271,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NIFNEX
ABAZAF01,2013,1.255,0.301,52.54,0.17,1.4,4.56,3.257,3D,[1.2-1.3),[0.3-0.4),[50-100),[0.1-0.2),[1.4-1.6),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ABAZAF01
SIQDIH,2013,1.409,0.116,29.27,0.052,1.41,4.6,3.262,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.6-4.8),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIQDIH
TELDOF,2013,1.573,0.134,64.3,0.059,1.41,5.62,3.986,1D,[1.5-1.6),[0.1-0.2),[50-100),[0.0-0.1),[1.4-1.6),[5.6-6.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TELDOF
AFECEV,2013,1.232,0.064,0.54,0.03,1.43,4.04,2.825,1D,[1.2-1.3),[0.0-0.1),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AFECEV
FEXFAR,2013,3.632,0.136,0.02,0.037,1.43,4.04,2.825,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEXFAR
OFAPAO,2013,1.327,0.205,0.93,0.094,1.43,4.04,2.825,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OFAPAO
TIRWOI,2013,1.17,0.181,60.67,0.109,1.43,4.67,3.266,2D,[1.1-1.2),[0.1-0.2),[50-100),[0.1-0.2),[1.4-1.6),[4.6-4.8),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIRWOI
KEWJAZ,2013,1.282,0.05,0.49,0.027,1.44,4.07,2.826,3D,[1.2-1.3),[0.0-0.1),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEWJAZ
NIPREL,2013,1.779,0.142,1.97,0.06,1.44,4.07,2.826,3D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NIPREL
PEKHUK,2013,1.871,0.208,0.17,0.085,1.44,4.08,2.833,3D,[1.8-2.0),[0.2-0.3),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEKHUK
HEDDIF,2013,1.072,0.297,174.62,0.209,1.44,4.7,3.264,1D,[1.0-1.1),[0.2-0.3),[150-200),[0.2-0.3),[1.4-1.6),[4.6-4.8),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HEDDIF
BEVZUZ,2013,1.357,0.127,1,0.056,1.45,4.1,2.828,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEVZUZ
MIJWOT,2013,1.146,0.232,80.98,0.152,1.45,4.75,3.276,1D,[1.1-1.2),[0.2-0.3),[50-100),[0.1-0.2),[1.4-1.6),[4.6-4.8),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIJWOT
PEKHIY,2013,1.847,0.212,1.38,0.09,1.46,4.12,2.822,3D,[1.8-2.0),[0.2-0.3),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEKHIY
KEZZOG,2013,1.309,0.26,163.47,0.142,1.46,4.77,3.267,1D,[1.3-1.4),[0.2-0.3),[150-200),[0.1-0.2),[1.4-1.6),[4.6-4.8),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEZZOG
LIQROU,2013,1.634,0.129,24.25,0.054,1.47,4.81,3.272,2D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIQROU
YEBGIX,2013,1.987,0.133,70.51,0.047,1.47,5.89,4.007,2D,[1.8-2.0),[0.1-0.2),[50-100),[0.0-0.1),[1.4-1.6),[5.6-6.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEBGIX
DASWOL01,2013,1.742,0.114,16.17,0.034,1.48,4.82,3.257,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DASWOL01
UDUJUA,2013,1.745,0.193,16.46,0.095,1.48,4.2,2.838,2D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UDUJUA
VIBZEN,2013,1.719,0.116,15.59,0.035,1.48,4.83,3.264,2D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIBZEN
CIDPEM,2013,1.155,0.164,16.72,0.084,1.5,4.24,2.827,1D,[1.1-1.2),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CIDPEM
FELJOX,2013,1.484,0.15,8.79,0.065,1.5,4.23,2.82,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FELJOX
WIPQAP,2013,1.297,0.271,154.46,0.151,1.5,4.9,3.267,1D,[1.2-1.3),[0.2-0.3),[150-200),[0.1-0.2),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WIPQAP
HIFVAV,2013,2.149,0.17,10.82,0.086,1.51,4.27,2.828,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HIFVAV
UDUKAH,2013,1.785,0.194,16.99,0.097,1.51,4.26,2.821,2D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UDUKAH
UDULOW,2013,1.742,0.199,19.66,0.097,1.51,4.28,2.834,2D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UDULOW
OFIWAD,2013,1.663,0.099,3.82,0.04,1.52,4.3,2.829,1D,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OFIWAD
FIHKAK,2013,1.377,0.262,24.43,0.139,1.53,4.34,2.837,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FIHKAK
HIBSAO,2013,1.385,0.208,9.83,0.104,1.53,4.31,2.817,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HIBSAO
ADIQOV,2013,1.216,0.208,30.99,0.127,1.54,4.36,2.831,2D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADIQOV
HAZPAB,2013,2.168,0.131,8.64,0.053,1.54,4.36,2.831,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAZPAB
HIHFIP,2013,1.238,0.174,22.6,0.088,1.55,4.39,2.832,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HIHFIP
FEGFUU,2013,1.347,0.247,48,0.137,1.56,4.42,2.833,2D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[1.4-1.6),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEGFUU
MIJWEJ,2013,1.26,0.21,31.44,0.129,1.56,4.41,2.827,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[1.4-1.6),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIJWEJ
BETZUX,2013,1.175,0.319,189.33,0.21,1.56,5.09,3.263,2D,[1.1-1.2),[0.3-0.4),[150-200),[0.2-0.3),[1.4-1.6),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BETZUX
DIBGUS,2013,1.555,0.174,32.6,0.074,1.57,4.45,2.834,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DIBGUS
ZEBDOB,2013,1.547,0.166,65.94,0.078,1.58,5.15,3.259,1D,[1.5-1.6),[0.1-0.2),[50-100),[0.0-0.1),[1.4-1.6),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZEBDOB
