Refcode,Density (g/cm3),"Helium Void Fraction F(He,T) (-)","Surface Area S(AC,T) (m2/g)","Pore Volume V(PO,T) (cm3/g)",Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity
GIKREZ,0.568,0.739506,3486.13,1.153,4.83,6.83,1.414078675,2D
GIKYIL,1.321,0.3699,563.87,0.243,9.94,10.72,1.078470825,1D
GILBOV,0.919,0.333276,37.67,0.273,2.94,4.44,1.510204082,1D
GILHOB01,1.586,0.47686,380.23,0.263,3.87,6.45,1.666666667,1D
GILHOB,1.701,0.446817,317.14,0.22,3.96,6.34,1.601010101,1D
GILJAP,1.624,0.472792,350.6,0.253,3.68,6.43,1.747282609,1D
GILYUY,1.045,0.549696,1244.82,0.459,6.35,7.25,1.141732283,1D
GIMDEM,1.215,0.25821,46.36,0.154,1.55,4.38,2.825806452,1D
GIMHAM,1.445,0.240849,25.48,0.12,2.02,4.32,2.138613861,1D
GIMJIW,1.387,0.229444,209.76,0.146,3.53,5.15,1.458923513,1D
GIMJOC,1.478,0.236679,190.97,0.137,3.53,5.15,1.458923513,1D
GIMJUI,1.267,0.241138,229.34,0.159,3.52,5.32,1.511363636,1D
GIMYUW01,1.03,0.324912,3.29,0.277,2.75,4.16,1.512727273,1D
GINDOY,1.443,0.080436,3.03,0.036,1.07,4.27,3.990654206,3D
GINNIC,0.768,0.582495,1992.25,0.709,9.32,10.15,1.089055794,1D
GINRUR,1.326,0.183382,23.05,0.098,1.1,4.41,4.009090909,3D
GINYIO,0.59,0.747936,2308.4,1.177,17.17,17.6,1.025043681,1D
GINYOU,0.495,0.813332,2383.24,1.504,23.41,24.21,1.03417343,1D
GINYUA,0.37,0.807289,2838.11,2.078,30.69,31.14,1.014662757,1D
GINZAG,0.963,0.563371,1109.25,0.54,10.18,10.98,1.078585462,1D
GINZIP,1.376,0.160576,2.21,0.078,2.06,4.13,2.004854369,1D
GINZOV,1.542,0.070974,4.86,0.028,1.06,4.22,3.981132075,3D
GINZUB,1.352,0.166894,9.17,0.087,1.84,4.26,2.315217391,2D
GIPBAL,1.519,0.069114,3.54,0.028,1.05,4.19,3.99047619,3D
GIPBIT,1.524,0.069228,4.26,0.027,1.05,4.21,4.00952381,3D
GIPBOZ,1.404,0.158441,0.96,0.077,2.06,4.11,1.995145631,1D
GIPFOB,1.849,0.154181,8.63,0.059,1.87,4.32,2.310160428,1D
GIPLAT,1.26,0.265805,131.85,0.151,2.19,4.69,2.141552511,1D
GIPNOL,1.183,0.293604,249.2,0.174,3.85,5.62,1.45974026,1D
GIQCIT,1.079,0.345714,526.4,0.258,3.62,7.03,1.94198895,1D
GIQVUA,1.362,0.265395,180.85,0.141,0.72,5.76,8,NON-POROUS
GIQWAH,1.414,0.16603,13.55,0.082,1.31,4.28,3.267175573,2D
GIRHAR,1.487,0.306747,11.18,0.164,1.71,4.33,2.532163743,3D
GIRHIZ,1.524,0.27786,0.87,0.144,1.77,4.1,2.316384181,3D
GIRYAK,1.348,0.238519,35.92,0.137,1.09,4.36,4,3D
GIRZIS,1.264,0.282309,100.27,0.161,2.34,4.68,2,1D
GIRZUE,0.916,0.435536,707.63,0.411,3.82,6.51,1.704188482,3D
GISPOQ,1.366,0.288763,286.02,0.172,3.14,5.62,1.789808917,2D
GISVIN,0.904,0.517721,1911.93,0.536,5.58,6.38,1.143369176,1D
GISVOV,1.247,0.211197,66.2,0.114,1.23,4.91,3.991869919,3D
GITBES,1.545,0.204681,0.19,0.103,2.58,4.04,1.565891473,2D
GITPIK,1.142,0.487016,737.91,0.368,5.07,6.34,1.250493097,1D
GITWOX,1.407,0.259292,249.64,0.144,3.64,5.31,1.458791209,1D
GITZIU,1.578,0.03233,2.78,0.012,1.31,4.27,3.259541985,3D
GITZOB,2.272,0.212605,179.23,0.088,4.27,4.84,1.133489461,1D
GIVDUL,1.822,0.388973,540.91,0.209,4.22,6.16,1.45971564,3D
GIVHUO,1.15,0.25103,56.48,0.215,2.11,4.5,2.132701422,1D
GIVPEH,1.26,0.322672,588.27,0.253,7.29,8.8,1.207133059,1D
GIVPUY,0.965,0.553454,329.93,0.487,3.42,4.84,1.415204678,1D
GIVVUF,1.448,0.255298,74.47,0.126,1.36,4.45,3.272058824,2D
GIVWAM,1.445,0.244023,93.76,0.114,1.42,4.65,3.274647887,2D
GIVWEQ,1.328,0.307807,246.74,0.173,2.01,5.69,2.830845771,2D
GIWFAV,1.744,0.132802,52.91,0.054,0.95,5.39,5.673684211,NON-POROUS
GIWLOQ,2.203,0.168874,0.04,0.056,1.61,4.08,2.534161491,1D
GIWNOR,1.642,0.137796,5.98,0.054,2.62,4.28,1.633587786,1D
GIWNUV,2.205,0.032832,0.17,0.01,1.8,4.16,2.311111111,1D
GIWPOT,2.414,0.304812,72.59,0.088,2.16,4.98,2.305555556,1D
GIWROV,0.997,0.307032,0.98,0.269,1.64,4.15,2.530487805,1D
GIWVIU,0.989,0.550194,1309.5,0.503,6.67,7.33,1.098950525,1D
GIWZOD,1.267,0.342943,19.07,0.242,3.22,4.29,1.332298137,1D
GIXMOR,1.442,0.231422,77.48,0.112,1.73,4.88,2.820809249,2D
GIXNAE,0.852,0.626066,1746.57,0.632,5.84,6.96,1.191780822,1D
GIXPEK,0.743,0.653298,1731.64,0.852,10,10.46,1.046,1D
GIXSIR,1.305,0.372121,455.14,0.235,4.65,5.81,1.249462366,1D
GIXWIU,0.587,0.745765,3512.68,1.257,8.61,9.74,1.131242741,1D
GIXYAP,0.679,0.645679,2625.07,0.856,6.84,7.45,1.089181287,1D
GIYSAJ,1.561,0.263258,126.07,0.13,4.83,5.35,1.107660455,1D
GIYTOY,1.709,0.378112,1.02,0.191,2.66,4.18,1.571428571,3D
GIZKIK,1.232,0.274732,133.95,0.163,1.4,4.57,3.264285714,1D
GIZNOT,1.713,0.375358,1.73,0.189,2.66,4.17,1.567669173,3D
GIZTOB,1.457,0.411372,253.94,0.239,3.24,5.52,1.703703704,1D
GIZXET,0.984,0.496895,122.75,0.395,3.65,4.61,1.263013699,1D
GIZXIX,0.964,0.468343,641.11,0.407,3.99,5.18,1.298245614,1D
GLYZNS10,1.366,0.217916,73.87,0.145,3.02,4.41,1.460264901,1D
GOBFEI,0.753,0.72673,3185.77,0.974,6.98,8.28,1.186246418,1D
GOBFOV,1.173,0.164504,5.52,0.094,1.51,4.27,2.82781457,1D
GOBKEN,0.668,0.642303,2139.8,0.842,4.19,7.91,1.887828162,2D
GOBLOA,1.211,0.273482,127.31,0.158,2.56,4.82,1.8828125,2D
GOBLUG,1.199,0.273785,125.25,0.157,2.65,4.74,1.788679245,2D
GOBSAS,1.152,0.280282,64.17,0.174,1.32,4.31,3.265151515,1D
GOBTIB,1.009,0.287193,393.91,0.253,2.42,5.58,2.305785124,1D
GOBVAW,1.599,0.166624,4.52,0.071,1.06,4.23,3.990566038,1D
GOBXUR,3.639,0.162254,9.13,0.045,2.23,4.76,2.134529148,1D
GOCDUY,0.806,0.6773,2061.6,0.748,7.18,9.51,1.324512535,1D
GOCFAI,3.654,0.177882,77.18,0.05,1.93,5.82,3.015544041,1D
GOCMOC,1.133,0.355007,677.91,0.239,5.53,6.19,1.119349005,1D
GOCNOC,1.174,0.256338,41.75,0.129,3.53,4.25,1.203966006,1D
GOCPAQ,1.576,0.078957,5.05,0.034,1.04,4.17,4.009615385,3D
GOCPEU,1.318,0.282084,8.92,0.157,2.86,4.32,1.51048951,2D
GOCRUO,1.314,0.204258,100.87,0.112,1.55,5.07,3.270967742,3D
GOCSUO,1.159,0.333089,325.39,0.232,3.1,5.29,1.706451613,1D
GOGMEV,1.009,0.284816,389.7,0.255,2.42,5.58,2.305785124,1D
GOHKOF,0.601,0.605457,2732.39,0.92,6.95,7.95,1.143884892,1D
GOJHOD,1.295,0.2491,15.11,0.14,2.88,4.35,1.510416667,1D
GOJRAZ,1.302,0.31232,356.26,0.177,1.93,8.92,4.621761658,3D
GOJSAZ,0.95,0.399416,124.58,0.395,3.26,4.48,1.374233129,1D
GOJSED01,0.959,0.428612,131.93,0.405,2.59,4.42,1.706563707,2D
GOJSED02,0.988,0.38189,4.81,0.332,2.44,4.17,1.709016393,3D
GOJSED03,0.974,0.418407,31.26,0.366,2.64,4.31,1.632575758,1D
GOJSED,0.968,0.403648,16.81,0.354,2.58,4.21,1.631782946,2D
GOKTEH,1.193,0.221849,97.53,0.156,3.27,4.78,1.4617737,1D
GOLLEA,1.54,0.197009,4.49,0.092,2.92,4.26,1.45890411,1D
GOLRII01,0.686,0.735535,3258.77,1.095,7.04,9.46,1.34375,3D
GOLRII,0.685,0.733093,3268.6,1.093,6.97,9.43,1.352941176,3D
GOLROO,0.693,0.733635,3225.72,1.078,7.03,9.44,1.342816501,3D
GOLRUU,0.57,0.783003,3969.52,1.312,7.06,9.29,1.315864023,1D
GOMFOF,0.96,0.534844,1130.56,0.514,11.79,11.93,1.01187447,1D
GOMFUL,1.208,0.452682,812.31,0.32,6.66,8.22,1.234234234,1D
GOMGAS,1.303,0.356654,15.09,0.208,2.26,4.27,1.889380531,2D
GOMGEV,1.258,0.371986,311.69,0.226,2.88,5.94,2.0625,1D
GOMHUM,1.239,0.373075,346.9,0.237,2.88,5.95,2.065972222,1D
GONNAA,1.355,0.267719,109.12,0.144,0.87,4.92,5.655172414,NON-POROUS
GONRUW,1.696,0.387657,450.46,0.235,3.24,5.95,1.836419753,1D
GOPCAR,1.165,0.318058,102.6,0.195,3.03,4.75,1.567656766,1D
GOPCEV,1.347,0.138399,5.05,0.069,1.06,4.23,3.990566038,2D
GOPCIZ,1.245,0.238423,14.68,0.114,1.73,4.38,2.531791908,1D
GOPDIA,0.338,0.828522,4150.21,2.346,12.98,14.37,1.107087827,1D
GOPTEM,0.899,0.49442,736.65,0.446,4.17,5.56,1.333333333,1D
GOQPAF,1.311,0.417922,273.72,0.233,2.96,4.65,1.570945946,1D
GOQSIQ,1.005,0.517857,1048.7,0.462,5.66,7.76,1.371024735,1D
GOQWAM,1.637,0.116732,1.41,0.05,1.02,4.09,4.009803922,3D
GOQXAN,1.583,0.277981,1.91,0.133,2.89,4.09,1.415224913,1D
GOSSEM,0.803,0.650607,1806.41,0.698,5.27,7.34,1.392789374,1D
GOTDIE,1.48,0.090631,34.92,0.043,4.09,4.37,1.068459658,1D
GOTDOK,1.487,0.132873,71.73,0.067,1.22,4.89,4.008196721,3D
GOTJUU,1.03,0.430269,216.23,0.385,3.4,4.66,1.370588235,2D
GOTKAB,1.399,0.366928,233.14,0.22,2.74,4.67,1.704379562,1D
GOTKEF,0.56,0.782137,4370.11,1.274,5.88,8.19,1.392857143,1D
GOTNOU,1.048,0.529925,1521.01,0.477,6.77,7.73,1.141802068,1D
GOVYOH,1.335,0.280582,29.77,0.15,2.42,4.32,1.785123967,1D
GOVYUN,1.334,0.279025,17.89,0.133,2.5,4.26,1.704,2D
GOVZAU,1.322,0.289935,36.14,0.161,2.56,4.37,1.70703125,1D
GOWTIX,1.676,0.116952,7.62,0.035,1.3,4.23,3.253846154,3D
GOXFIK,1.734,0.174403,9.76,0.074,1.51,4.26,2.821192053,1D
GOXMEN,1.344,0.205538,34.39,0.097,2.58,4.62,1.790697674,1D
GOXSIV,0.897,0.428231,220.45,0.422,3.48,4.52,1.298850575,1D
GOXTES,1.273,0.224468,25.86,0.124,1.69,4.29,2.538461538,1D
GOYLAH,1.173,0.366995,180.74,0.254,3.5,4.42,1.262857143,2D
GOYYOK,1.643,0.098402,20.81,0.047,0.83,4.68,5.638554217,NON-POROUS
GOZNIU,0.988,0.498049,619.48,0.477,3.64,5.95,1.634615385,1D
GUBFOY,1.258,0.396717,252.56,0.263,3.1,5.54,1.787096774,1D
GUBVUU,1.093,0.495803,502.56,0.359,3.93,6.55,1.666666667,1D
GUBYEI,1.479,0.231752,14.86,0.113,1.28,4.19,3.2734375,3D
GUCWOR,1.287,0.322648,266.29,0.195,3.2,5.23,1.634375,2D
GUCXAE,1.076,0.443692,864.33,0.345,5.05,6.31,1.24950495,1D
GUCXEI,1.571,0.160832,6.22,0.078,1.66,4.2,2.530120482,1D
GUDBIR,1.278,0.28256,4.61,0.154,2.07,4.13,1.995169082,1D
GUDBOX,1.354,0.164654,7.35,0.082,1.48,4.18,2.824324324,1D
GUDBUD,1.344,0.176637,14.94,0.089,1.51,4.26,2.821192053,1D
GUDCAK,1.586,0.192676,2.32,0.088,2.55,4.16,1.631372549,1D
GUDCEO,1.169,0.478371,422.59,0.299,3.72,5.1,1.370967742,2D
GUDLAU,1.504,0.266876,8.36,0.152,2.84,4.29,1.51056338,1D
GUDRIH,1.369,0.165551,0.3,0.074,1.01,4.04,4,1D
GUFGOE,1.53,0.312575,242.69,0.14,3.07,6.82,2.221498371,1D
GUFHAR,1.026,0.367395,154.55,0.286,2.44,4.61,1.889344262,1D
GUFXEM,1.453,0.252703,107.94,0.137,2.16,4.98,2.305555556,2D
GUGKEA,1.275,0.539626,271.83,0.324,3.43,5.18,1.510204082,2D
GUGPAA,1.207,0.276858,117.66,0.197,3.07,4.48,1.459283388,1D
GUGQAC,0.975,0.565163,1790.37,0.557,6.53,7.31,1.119448698,1D
GUGQIK,1.236,0.224909,48.27,0.141,2.17,4.64,2.138248848,1D
GUGVUB,0.732,0.582945,2145.41,0.713,4.44,6.09,1.371621622,1D
GUHCUJ,1.153,0.323947,86.78,0.208,2.13,4.56,2.14084507,1D
GUHFUM,1.223,0.244806,2.14,0.146,1.45,4.09,2.820689655,3D
GUJHAU,0.587,0.662709,2822.32,1.088,8.34,9.25,1.10911271,1D
GUJHEY,0.591,0.662989,2772.79,1.08,8.31,9.18,1.104693141,1D
GUJHIC,0.604,0.678512,2684.41,1.073,8.45,9.33,1.104142012,1D
GUJHOI,0.599,0.674878,2743.33,1.078,8.38,9.34,1.114558473,1D
GUJREK01,1.271,0.358401,527.2,0.216,4.44,6.38,1.436936937,1D
GUJVAI,1.594,0.281063,21.99,0.186,3.1,4.38,1.412903226,1D
GUJWIS01,0.882,0.544085,1196.68,0.578,10.41,11.08,1.064361191,1D
GUKCAS,1.529,0.152711,11.21,0.075,1.08,4.32,4,3D
GUKDOG,1.624,0.127745,22.8,0.064,1.14,4.54,3.98245614,3D
GUKDUM,1.197,0.219735,1.52,0.112,1.91,4.08,2.136125654,1D
GUKFAU,1.052,0.381019,65.21,0.286,3.05,4.61,1.51147541,1D
GUKPEJ,1.688,0.116098,21.13,0.03,0.89,5.01,5.629213483,NON-POROUS
GUKQUZ,0.648,0.750366,3173.19,1.087,4.56,12.88,2.824561404,3D
GULGEZ,1.815,0.28994,331.76,0.156,4.95,7.49,1.513131313,1D
GULYUJ,1.813,0.191898,4.34,0.091,2.59,4.23,1.633204633,1D
GUMDEZ,1.353,0.514223,465.41,0.262,4.44,5.02,1.130630631,1D
GUNFAW01,0.663,0.734696,3408.62,1.135,7.05,9.53,1.35177305,3D
GUNYIZ,1.088,0.399849,44.63,0.264,2.66,4.35,1.635338346,1D
GUPBOJ01,1.536,0.174861,119.29,0.085,3.52,5.15,1.463068182,1D
GUPCOK,1.098,0.390435,691.77,0.306,4.23,6.91,1.63356974,3D
GUPCUQ01,1.135,0.562853,1036.11,0.466,3.27,12.32,3.767584098,3D
GUPDEB,0.945,0.643971,1448.67,0.635,7.07,19.98,2.82602546,3D
GUPDIF,1.198,0.20712,33.56,0.138,3.48,4.3,1.235632184,3D
GUPDOL,1.293,0.114077,2.68,0.063,1.82,4.18,2.296703297,3D
GUPYOF,0.92,0.467824,1141.48,0.439,5.71,6.67,1.168126095,1D
GUQMAH,0.656,0.705782,2427.93,0.948,6.07,7.88,1.298187809,1D
GUQWOG,0.957,0.592428,1380.72,0.518,4.15,6.92,1.66746988,2D
GURBUS,1.525,0.290323,95.22,0.148,1.51,4.93,3.264900662,3D
GURCAZ,1.57,0.29056,80.02,0.144,1.44,4.71,3.270833333,2D
GURCUS,1.204,0.356641,246.39,0.235,3.72,4.96,1.333333333,1D
GURFIJ,0.644,0.645867,2184.38,0.956,4.35,6.58,1.512643678,1D
GURLUB,1.613,0.283634,193.41,0.136,0.8,6.43,8.0375,NON-POROUS
GURMOX,0.933,0.629659,1080.78,0.581,4.04,6.21,1.537128713,1D
GURTUJ,1.364,0.168701,55.58,0.084,1.36,4.44,3.264705882,2D
GURWUM,1.048,0.44629,0.27,0.367,3.21,4.07,1.267912773,2D
GURXAT,1.341,0.148648,5.12,0.071,2.74,4.3,1.569343066,1D
GURXEX,1.148,0.510829,334.78,0.388,3.88,4.58,1.180412371,1D
GUSBUS,1.247,0.314972,35.91,0.187,1.89,4.37,2.312169312,2D
GUSLUC,1.318,0.243363,58.86,0.144,3.36,4.36,1.297619048,1D
GUSMAJ,1.322,0.249303,58.52,0.149,3.4,4.42,1.3,1D
GUSTUK,1.183,0.268681,105.32,0.184,2.04,4.71,2.308823529,1D
GUSVEW,1.351,0.178889,8.17,0.103,1.05,4.21,4.00952381,3D
GUTJUB,0.859,0.627808,1598.53,0.671,4.29,7.31,1.703962704,1D
GUTKEM,1.386,0.285642,53.79,0.173,3.3,4.4,1.333333333,1D
GUTKIQ,1.369,0.279458,92.27,0.172,3.05,4.62,1.514754098,1D
GUTPUI,0.696,0.581564,1226.51,0.756,3.51,5.5,1.566951567,1D
GUTWEZ,0.483,0.75078,4725.71,1.453,6.77,8.41,1.242245199,1D
GUTYEA,1.434,0.243647,13.32,0.133,3.06,4.47,1.460784314,1D
GUTYIE,1.076,0.533757,704.01,0.435,3.87,5.47,1.413436693,2D
GUVCEH,0.825,0.495426,702.01,0.482,3.04,5.44,1.789473684,1D
GUVCIL,0.821,0.51102,884.28,0.518,3.2,6.03,1.884375,1D
GUVQIY,1.569,0.198011,1.73,0.079,2.22,4.18,1.882882883,1D
GUVZEE,1.893,0.084749,56.42,0.055,2.95,5.72,1.938983051,1D
GUWGUC,0.564,0.731385,3998.05,1.179,5.11,7.47,1.46183953,1D
GUWNUI,0.58,0.735133,3772.85,1.158,4.88,9.77,2.00204918,2D
GUWWOK,1.147,0.234058,0.57,0.141,1.23,4.03,3.276422764,1D
GUWWUQ,0.937,0.468115,665.64,0.433,3.03,5.88,1.940594059,1D
GUWXAY,0.851,0.470739,101.91,0.462,3.05,4.31,1.413114754,1D
GUWXEB,0.881,0.662354,1667.09,0.657,6.73,9.44,1.402674591,1D
GUWXIF,0.988,0.383831,262.37,0.279,3.1,5.06,1.632258065,1D
GUXKAM,1.377,0.308525,157.3,0.187,3.78,4.66,1.232804233,1D
GUXZOP,2.232,0.199659,39.58,0.066,0.85,4.79,5.635294118,NON-POROUS
GUXZUV,1.772,0.489891,543.61,0.226,4.52,5.87,1.298672566,1D
GUYBAE,2.553,0.325945,54.09,0.112,3.26,4.76,1.460122699,1D
GUYGAK,0.807,0.548345,1577.85,0.588,6.34,7.82,1.233438486,1D
GUYLOC,1.067,0.543279,963.53,0.425,5.41,6.59,1.218114603,1D
GUYLUI,1.535,0.210561,28.6,0.099,3.56,4.62,1.297752809,1D
GUYMAP,1.076,0.538234,1088.15,0.415,5.07,6.76,1.333333333,1D
GUYVUR,0.96,0.483268,556.1,0.43,3.28,6.37,1.942073171,1D
HABREJ,0.929,0.584372,1348.57,0.527,5.03,6.9,1.371769384,2D
HABVUD,1.006,0.314263,89.07,0.25,2.82,4.42,1.567375887,1D
HACBUJ,1.108,0.393145,109.91,0.277,3.54,4.48,1.265536723,2D
HADDIB,1.226,0.291553,384.19,0.224,4.11,4.95,1.204379562,2D
HADDOH,1.126,0.352089,511.66,0.279,3.77,5.92,1.570291777,2D
HADQOV,0.744,0.684226,2421.61,0.831,6.58,8.08,1.227963526,1D
HADXES,2.07,0.246547,27.38,0.099,3.04,4.3,1.414473684,1D
HADXUG,1.429,0.379747,240.01,0.232,4.16,4.62,1.110576923,1D
HADYER,1.481,0.327429,183.89,0.185,3.13,5.11,1.632587859,1D
HAFDOI,1.613,0.298721,249.17,0.188,2,5.65,2.825,1D
HAFGUT,0.913,0.659155,1202.21,0.579,3.3,9.99,3.027272727,3D
HAFPUB,2.178,0.27529,96.19,0.094,4.05,4.67,1.15308642,1D
HAFQOW,0.945,0.708332,1303.95,0.542,6.83,7.3,1.068814056,1D
HAFQUC,0.922,0.639237,1036.37,0.519,4.92,6.56,1.333333333,1D
HAFVUH,0.939,0.61692,1296.12,0.539,6.96,7.07,1.015804598,1D
HAFXOE,0.659,0.741649,3388.57,1.151,7.29,9.72,1.333333333,3D
HAFXUK,0.685,0.730914,3271.57,1.082,7.01,9.41,1.342368046,3D
HAFYAR,0.676,0.737531,3301.5,1.115,7.08,9.57,1.351694915,3D
HAFYEV,0.68,0.731814,3282.45,1.098,6.98,9.43,1.351002865,3D
HAFYIZ,0.679,0.732476,3278.16,1.093,6.99,9.45,1.35193133,3D
HAFYOF,0.69,0.731299,3213.99,1.079,6.96,9.41,1.352011494,2D
HAFYUL,0.684,0.73195,3267.68,1.089,6.98,9.43,1.351002865,3D
HAGGUT,0.845,0.572297,1333.76,0.61,7.84,9.3,1.18622449,1D
HAGRUD,0.588,0.735321,4112.02,1.189,6.56,7.21,1.099085366,1D
HAGTAN,1.352,0.331142,172.9,0.181,1.24,4.96,4,3D
HAGTIV,1.227,0.139007,62.67,0.072,3.47,5.24,1.510086455,1D
HAHCEB,1.394,0.280604,69.97,0.157,3.77,4.45,1.180371353,1D
HAHCUR,1.105,0.468319,666.31,0.328,5.72,7.06,1.234265734,1D
HAHPAH,1.322,0.075743,35.8,0.04,0.88,4.97,5.647727273,NON-POROUS
HAHQIT,1.022,0.369537,109.38,0.274,2.59,4.41,1.702702703,1D
HAHWAO,1.284,0.425065,453.87,0.319,4.13,4.98,1.205811138,1D
HAHZUM,0.78,0.634571,2150.75,0.721,7.61,8.41,1.105124836,1D
HAJBIF,1.292,0.165602,11.89,0.099,2.54,4.15,1.633858268,1D
HAJJUY01,1.137,0.374575,310.29,0.264,3.22,5.05,1.568322981,1D
HAJQUH,0.855,0.411759,481.51,0.357,2.86,5.11,1.786713287,1D
HAKFOQ01,1.236,0.177786,61.86,0.109,2.84,4.64,1.633802817,1D
HAKKEL,1.511,0.236138,2.32,0.111,2.05,4.1,2,1D
HAKWAU,1.039,0.495074,384.11,0.446,3.48,5.68,1.632183908,2D
HAKZOI,1.509,0.177027,5.92,0.09,1.52,4.3,2.828947368,2D
HALFAB,1.275,0.251051,24.39,0.18,3.44,4.24,1.23255814,1D
HALSIZ,1.389,0.233911,282.45,0.136,4.58,5.41,1.181222707,1D
HALTEW,1.065,0.559965,1124.3,0.445,5.09,6.29,1.235756385,1D
HALTUM,1.511,0.257934,2.6,0.109,1.66,4.19,2.524096386,1D
HALVAU,1.328,0.231565,57.91,0.125,2.61,4.67,1.789272031,1D
HALXUQ,1.335,0.271213,73.38,0.135,1.42,4.63,3.26056338,2D
HAMLAJ,1.113,0.44786,663.01,0.386,3.79,4.92,1.298153034,1D
HAMNOB,1.304,0.162943,6.95,0.075,1.29,4.23,3.279069767,2D
HAMNUH,1.212,0.195629,75.59,0.142,1.39,4.53,3.258992806,2D
HAMREV,0.836,0.502108,1392.69,0.587,4.31,5.2,1.20649652,1D
HAMSAP,1.431,0.15522,73.13,0.07,1.7,5.54,3.258823529,1D
HANFAG,1.505,0.124145,0.32,0.05,1.6,4.04,2.525,1D
HAPGIR,1.33,0.412912,427.06,0.264,3.6,5.65,1.569444444,1D
HAPNOE,1.606,0.378742,172.33,0.189,3.26,5.11,1.567484663,1D
HAPNUK,1.611,0.377923,170.95,0.187,3.23,5.07,1.569659443,1D
HASNAS,1.693,0.179403,15.31,0.055,1.45,4.75,3.275862069,1D
HASNOH,1.912,0.400635,320.14,0.208,4.28,5.28,1.23364486,1D
HASNUN,1.808,0.39942,404,0.223,4.45,5.37,1.206741573,1D
HASPEY,1.692,0.204346,7.52,0.079,1.06,4.25,4.009433962,3D
HATGUF01,1.221,0.531988,713.35,0.354,6.65,8.31,1.24962406,1D
HATGUF,1.221,0.533723,717.77,0.356,6.58,8.28,1.258358663,1D
HATHUF,1.078,0.414648,648.92,0.327,4.2,6.13,1.45952381,1D
HATHUH,1.517,0.261322,7.78,0.151,2.74,4.3,1.569343066,1D
HATZOS01,1.27,0.374917,113.3,0.25,2.6,4.65,1.788461538,2D
HATZOS02,1.316,0.380963,64.82,0.229,3.42,4.43,1.295321637,1D
HATZOS,1.317,0.381176,62.57,0.229,3.51,4.44,1.264957265,1D
HAVGER,1.338,0.450851,1006.95,0.342,7.47,9.16,1.226238286,1D
HAVZIP,0.436,0.837635,4481.88,1.782,9.17,12.58,1.371864776,1D
HAWDUG,0.896,0.545789,1712.99,0.559,6.49,7.58,1.167950693,2D
HAWREE,1.294,0.458923,289.84,0.283,3.25,5.67,1.744615385,1D
HAWVAE,1.572,0.450761,387.78,0.237,3.4,5.33,1.567647059,1D
HAWVEI,1.508,0.446981,407.73,0.245,3.4,5.33,1.567647059,1D
HAWVIM,1.558,0.448154,385.93,0.236,3.51,5.3,1.50997151,1D
HAWVOS,1.626,0.453823,367.25,0.227,3.39,5.32,1.569321534,1D
HAWVUY,1.587,0.451921,378.92,0.234,3.24,5.28,1.62962963,1D
HAWWAF,1.617,0.449052,362.27,0.227,3.23,5.28,1.634674923,1D
HAWWEK,0.818,0.626218,1154.98,0.706,3.61,5.9,1.63434903,3D
HAWWIN,1.483,0.316312,185.23,0.173,3.19,5.43,1.702194357,1D
HAWWOT,1.456,0.355984,222.73,0.193,3.38,5.52,1.633136095,1D
HAWWUZ,1.47,0.329794,173.62,0.18,3.36,5.48,1.630952381,1D
HAWZAI,1.162,0.400894,313.13,0.293,3.77,4.77,1.265251989,1D
HAWZEM,1.283,0.454237,208.58,0.26,3.55,4.73,1.332394366,1D
HAXRAC,1.12,0.406813,457.24,0.282,3.34,5.06,1.51497006,1D
HAXSUW,1.544,0.201823,124.57,0.12,4.3,4.52,1.051162791,1D
HAYCIU,1.381,0.284533,139.89,0.228,1.94,4.9,2.525773196,1D
HAYDOC,0.813,0.62456,1277,0.667,4.04,5.54,1.371287129,1D
HAYDUH,0.779,0.642829,2691.73,0.863,5.03,6.2,1.232604374,2D
HAYFAP,0.861,0.591058,1607.54,0.728,4.87,6.08,1.248459959,1D
HAYGAQ,0.422,0.777905,6200.43,1.855,6.93,8.01,1.155844156,1D
HAYGEU,0.43,0.781216,6244.06,1.828,6.88,7.95,1.155523256,1D
HAYJOI,0.672,0.724557,2116.17,1.008,10.09,10.65,1.055500496,1D
HAYMIF,1.387,0.304607,9.44,0.174,3.42,4.23,1.236842105,1D
HAYPIG,1.468,0.356874,0.36,0.192,2.6,4.08,1.569230769,1D
HAYVOU,1.208,0.260632,16.97,0.171,2.27,4.28,1.885462555,1D
HAYWUB,1.907,0.089292,4.77,0.029,2.2,4.41,2.004545455,1D
HAYYOY,1.488,0.499182,677.44,0.297,4.65,7.93,1.705376344,1D
HAYYUE,1.128,0.682598,1273.4,0.531,9.95,10.98,1.103517588,1D
HAYZAL,0.681,0.875277,1912.14,1.118,18.3,18.94,1.034972678,1D
HAYZEP,0.748,0.748949,2115.47,0.934,13.6,15.38,1.130882353,1D
HAZBER,1.533,0.309006,1.04,0.163,2.48,4.05,1.633064516,1D
HAZBIV,1.068,0.514211,544.99,0.363,3.16,5.8,1.835443038,1D
HAZGUM,1.43,0.322105,94.44,0.219,3.48,4.52,1.298850575,1D
HAZJOI,1.219,0.218331,2.02,0.151,1.65,4.17,2.527272727,1D
HAZNON,2.012,0.234336,63.51,0.096,2.42,4.83,1.995867769,1D
HAZNUT,1.814,0.240462,72.46,0.124,2.2,4.71,2.140909091,1D
HAZPAB,2.168,0.130542,8.64,0.053,1.54,4.36,2.831168831,1D
