,Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
3034,TIVZEE,2008,1.176,0.515451,1056.26,1059.69,0.405,0.403,4.4,7.51,1.706818182,1D,[1.1 - 1.2),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.4-0.5),[4.0-4.5),[7.0-8.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIVZEE
3035,TIXJAM,2008,0.596,0.56741,2074.76,1788.42,0.889,0.855,9.12,9.62,1.054824561,1D,[0.0 - 0.6),[0.5 - 0.6),[2000 - 3000),[1500-2000),[0.8 - 1.0),[0.8-1.0),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIXJAM
3036,TIYMEU,2008,1.803,0.124399,8.94,0,0.036,0,1.27,4.16,3.275590551,2D,[1.8 - 2.0),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIYMEU
3037,TIZDOW,2008,1.475,0.261826,45.86,49.61,0.138,0.133,3.57,4.52,1.266106443,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.05-50),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[4.5-4.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIZDOW
3038,TIZSIF,2008,0.81,0.611647,1807.4,1821.32,0.678,0.669,7.56,8.47,1.12037037,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIZSIF
3039,TOBPEG,2008,1.585,0.195502,39.72,0,0.063,0,1.77,5,2.824858757,1D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[5.0-5.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TOBPEG
3040,UFASIE,2008,0.863,0.597381,1013.67,982.16,0.639,0.645,3.48,5.8,1.666666667,3D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[800-1000),[0.6 - 0.8),[0.6-0.8),[3.3-3.6),[5.6-6.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UFASIE
3041,UFASOK,2008,1.139,0.347293,505.52,329.12,0.259,0.208,4.96,5.61,1.131048387,1D,[1.1 - 1.2),[0.3 - 0.4),[500 - 600),[300-400),[0.2 - 0.3),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UFASOK
3042,UFAVAZ,2008,1.549,0.131019,3.04,3.53,0.067,0.064,3.5,4.23,1.208571429,1D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.05-50),[0.0 - 0.1),[0.01-0.1),[3.3-3.6),[4.2-4.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UFAVAZ
3043,UFAVED,2008,1.429,0.192997,1.95,2.23,0.109,0.105,3.28,4.15,1.265243902,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.05-50),[0.1 - 0.2),[0.1-0.2),[3.0-3.3),[4.0-4.2),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UFAVED
3044,UFEMEY,2008,1.148,0.184888,30.95,0,0.116,0,1.34,4.38,3.268656716,2D,[1.1 - 1.2),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UFEMEY
3045,UFEWAE,2008,1.039,0.439865,514.36,0,0.319,0,1.43,5.71,3.993006993,1D,[1.0 - 1.1),[0.4 - 0.5),[500 - 600),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[1.4-1.6),[5.6-6.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UFEWAE
