Refcode,Density (g/cm3),"Void fraction, F(He,T) (-)","Surface area, S(AC,T) (m2/g)","Pore volume, V(PO,T) (cm3/g)",Pore limiting diameter (A),Largest cavity diameter (A),Ratio LCD/PLD (-)
BACMEZ,0.961,0.542199,1573.57,0.522,6.81,7.71,1.13215859
BACNAV,0.907,0.577457,856.74,0.589,3.66,5.74,1.568306011
BACYEK,1.751,0.351072,55.1,0.196,3.26,4.61,1.414110429
BACZIR,1.587,0.079407,2.44,0.033,2.02,4.33,2.143564356
BADFUI,1.099,0.580639,1737.34,0.459,5.41,6.32,1.168207024
BADLOH,1.653,0.256002,83.57,0.119,1.58,5.17,3.272151899
BADXUC,0.885,0.66174,1819.76,0.653,8.8,10.33,1.173863636
BADYAJ,0.984,0.630205,1623.44,0.547,6.69,8.31,1.242152466
BAEDTA01,2.264,0.076305,5.49,0.019,1.65,4.66,2.824242424
BAFCOB,1.215,0.20524,0.22,0.141,1.61,4.07,2.527950311
BAGFUM,1.088,0.492282,816.26,0.391,4.27,6.14,1.43793911
BAGGEX,1.166,0.227456,6.93,0.136,1.48,4.18,2.824324324
BAGNEF,1.63,0.177039,12.36,0.08,1.06,4.23,3.990566038
BAHCOF,1.597,0.260585,317.14,0.148,4.87,5.68,1.166324435
BAHFAU,0.773,0.656537,1649.17,0.761,4.66,5.97,1.28111588
BAHGUN03,1.502,0.263163,0.1,0.129,3,4.12,1.373333333
BAHGUN04,1.485,0.262114,0.49,0.13,3,4.11,1.37
BAHGUN,1.493,0.26713,0.44,0.133,3.02,4.14,1.370860927
BAHHUQ,1.457,0.208042,49.27,0.1,1.14,4.57,4.00877193
BAHJUR,1.772,0.256206,74.76,0.109,1.15,4.62,4.017391304
BAHMEF,0.86,0.614897,2042.87,0.618,6.38,6.82,1.068965517
BAHMUV,1.088,0.449471,745.28,0.337,4.55,6.54,1.437362637
BAHPEH,1.369,0.218073,37.88,0.113,1.55,4.38,2.825806452
BAHPEI,0.9,0.467796,1155.77,0.474,5.23,7.28,1.391969407
BAJQAF,1.329,0.238042,91.5,0.151,2.57,5.49,2.13618677
BAJYIW,0.928,0.531048,843.94,0.451,4.36,5.66,1.298165138
BAKCAS,1.525,0.224611,15.24,0.111,3.04,4.3,1.414473684
BAKJII,0.959,0.637875,1124.09,0.542,4.76,6.02,1.264705882
BAKJOM,1.89,0.333846,121.55,0.135,2.77,5.22,1.884476534
BAKMUW,0.964,0.235904,173.11,0.18,3.63,4.84,1.333333333
BAKNIN,1.261,0.110848,6.29,0.064,1.49,4.22,2.832214765
BAKPOS,1.162,0.649065,1054.09,0.482,4.09,6.18,1.511002445
BALJOQ,1.179,0.535058,903.04,0.388,4,6.52,1.63
BAMLUY,0.908,0.467055,1223.17,0.465,4.64,7.74,1.668103448
BAMRAK,1.318,0.181973,15.06,0.09,1.31,4.28,3.267175573
BAMYAS,2.152,0.199321,5.59,0.073,1.99,4.24,2.130653266
BANGED,0.746,0.588701,1956.31,0.83,4.2,5.94,1.414285714
BANGIH,1.177,0.439417,589.58,0.321,4.02,5.52,1.373134328
BANHAA,1.247,0.274095,219.14,0.157,1.99,5.04,2.532663317
BANMAG,1.492,0.336322,522.27,0.203,6.87,8.11,1.180494905
BANTIV01,0.758,0.565856,1350.3,0.69,4.09,5.7,1.393643032
BANTIV02,0.775,0.558979,1122.8,0.668,4.1,5.62,1.370731707
BAPJUZ,1.196,0.154967,111.92,0.093,0.93,5.26,5.655913978
BAPMAJ,1.049,0.498362,799.8,0.43,4.03,5.99,1.486352357
BAPMOX,2.008,0.336175,75.14,0.164,2.43,4.86,2
BAPSUH01,0.798,0.603902,1528.11,0.626,4.04,7.62,1.886138614
BAPTUK,1.232,0.328202,533.56,0.233,4.98,5.81,1.166666667
BAQCEB,1.205,0.394898,22.99,0.281,2.73,4.28,1.567765568
BAQCIF,0.975,0.38591,58.9,0.355,3.02,4.41,1.460264901
BAQMOW,1.773,0.20842,41.26,0.095,0.88,4.96,5.636363636
BAQMUC,1.98,0.212488,30.31,0.082,0.85,4.83,5.682352941
BAQRES,1.39,0.240136,28.41,0.131,3.53,4.36,1.235127479
BAQSIV,1.78,0.13703,45.2,0.064,1.12,4.49,4.008928571
BARBEE,1.286,0.230661,111.89,0.13,2.51,5.02,2
BARBII,1.239,0.180629,22.54,0.083,1.99,4.26,2.140703518
BARVOH,1.174,0.263173,139.79,0.184,3.46,4.89,1.413294798
BARWAU,0.713,0.605428,1766.75,0.784,9.36,11.23,1.199786325
BARXIC01,1.366,0.223884,5.72,0.129,3.62,4.19,1.157458564
BARXIC,1.35,0.225626,4.23,0.133,3.64,4.12,1.131868132
BARZIF,1.442,0.25877,219.88,0.142,3.68,5.67,1.54076087
BASHAF,0.6,0.662199,3411.54,1.162,4.07,7.11,1.746928747
BASHEJ,0.63,0.660653,3109.3,1.103,4.05,7.07,1.745679012
BASHIN,0.748,0.552993,915.13,0.819,3.16,5.65,1.787974684
BASHOT,0.768,0.553751,847.09,0.794,3.15,5.63,1.787301587
BASJIP,1.605,0.325701,244.36,0.179,4.34,5.01,1.15437788
BASVIB,1.124,0.220761,182.44,0.148,1.25,5.01,4.008
BASVOH,1.232,0.212229,127.34,0.133,1.46,4.77,3.267123288
BATNER,0.6,0.565252,2811.3,0.881,6.68,7.72,1.155688623
BAVKOA,1.273,0.493424,179.04,0.28,3.79,4.91,1.295514512
BAVREW01,1.807,0.275831,86.4,0.116,1.75,4.96,2.834285714
BAVWED,1.436,0.241227,164.47,0.13,2.48,4.96,2
BAWQIB01,1.238,0.222697,0.5,0.127,1.76,4.07,2.3125
BAWZEH,0.662,0.61106,1637.58,0.956,3.81,5.39,1.414698163
BAXFEN,1.446,0.263465,293.86,0.14,4.79,5.65,1.17954071
BAXHAL,1.564,0.245509,36.93,0.136,2.76,4.34,1.572463768
BAXHEP,1.685,0.237448,11.76,0.121,2.68,4.2,1.567164179
BAXHIT,1.716,0.235129,11.01,0.118,2.69,4.22,1.568773234
BAXHOZ,1.593,0.23987,29.98,0.132,2.75,4.32,1.570909091
BAXHUF,1.58,0.239137,29.62,0.131,2.76,4.32,1.565217391
BAXJAN01,1.627,0.237578,23.25,0.127,2.75,4.32,1.570909091
BAXJAN,1.668,0.232046,4.49,0.119,2.64,4.14,1.568181818
BAXJIV,1.735,0.238894,8.84,0.115,2.68,4.21,1.570895522
BAXLEU,1.588,0.394691,479.41,0.248,3.92,6.27,1.599489796
BAXREY,1.529,0.230258,132.1,0.118,3.06,6.31,2.062091503
BAXTEA,1.385,0.156707,0.56,0.078,3.14,4.08,1.299363057
BAYVOO,1.218,0.48106,1429.75,0.421,6.6,7.47,1.131818182
BAZBIO01,1.008,0.555019,846.81,0.443,4.51,5.86,1.299334812
BAZBIO,1.008,0.555573,857.55,0.443,4.51,5.85,1.297117517
BAZBOU02,0.989,0.551771,850.54,0.456,4.43,5.99,1.35214447
BAZBOU,0.988,0.558801,920.79,0.462,4.65,5.96,1.28172043
BAZCOW,0.735,0.714515,2962.65,0.986,7.27,8.53,1.173314993
BAZDAJ,0.719,0.719167,3093.37,1.015,6.94,8.67,1.249279539
BAZTEB,0.73,0.602503,1330.94,0.702,4.16,4.9,1.177884615
BAZVED,0.721,0.620928,1533.36,0.731,4,5.34,1.335
BCETPN,0.931,0.477035,1188.05,0.498,6.64,7.16,1.078313253
BEBBAM,0.486,0.69686,4505.99,1.364,6.18,7.21,1.166666667
BEBSAE,0.422,0.825105,5575.01,1.839,7.25,8.95,1.234482759
BECKAY,1.627,0.293275,37.04,0.14,2.98,4.51,1.513422819
BECQEF,0.432,0.76229,4192.3,1.741,11.01,11.4,1.035422343
BECSEI,1.224,0.245905,49.28,0.175,3.14,4.58,1.458598726
BECSUY,1.158,0.341096,303.77,0.242,3.54,5,1.412429379
BECTUA,0.858,0.603916,1583.29,0.656,4.47,5.95,1.331096197
BEDCOF,1.236,0.202697,0.54,0.129,1.78,4.12,2.314606742
BEFJAA,2.297,0.237876,136.21,0.099,4.2,4.66,1.10952381
BEGJAZ,1.155,0.381747,79.62,0.266,3.37,4.49,1.332344214
BEGZEU,1.255,0.303543,37.38,0.166,3.74,4.24,1.13368984
BEGZIY,0.549,0.718004,3102.49,1.244,7.38,7.96,1.078590786
BEHFAY01,1.067,0.26032,338.05,0.208,3.96,5.43,1.371212121
BEHKAC,1.175,0.384974,262.91,0.254,3.49,5.28,1.512893983
BEHMAD01,1.248,0.557153,1152.17,0.41,7.47,8.9,1.191432396
BEHMAE,1.749,0.166559,20.86,0.082,1.77,4.47,2.525423729
BEHPIO,1.162,0.228493,46.12,0.109,2.56,4.59,1.79296875
BEHPOU,1.027,0.379907,266.4,0.29,3.26,4.92,1.509202454
BEJCIF,1.247,0.315405,46.75,0.205,2.94,4.62,1.571428571
BEJHOQ,0.619,0.730567,4133.04,1.256,6.51,8.09,1.242703533
BEJYUN,1.408,0.114823,1.67,0.051,1.31,4.27,3.259541985
BEKDUR01,1.449,0.299131,8.26,0.154,2.85,4.17,1.463157895
BEKNIR,1.204,0.57171,1086.85,0.445,4.21,6.36,1.510688836
BEKNOX,1.182,0.587983,1069.3,0.472,3.85,6.29,1.633766234
BEKPAL,1.07,0.614145,1326.52,0.537,8.2,9.28,1.131707317
BEKROZ,2.794,0.208886,55.69,0.075,3.32,5.01,1.509036145
BELBEA,1.447,0.114226,9.18,0.053,1.5,4.25,2.833333333
BELJIL,1.287,0.296872,445.78,0.188,4.81,7.03,1.461538462
BEMCUU,1.766,0.102693,4.85,0.04,2.81,4.26,1.516014235
BEMFOQ,0.746,0.578516,1614.21,0.713,4.2,7,1.666666667
BEMHUX,1.151,0.457783,716.07,0.359,3.71,7.2,1.940700809
BEMRES,1.672,0.216396,129.45,0.094,2.46,5.69,2.31300813
BENHOT,1.044,0.436014,263.68,0.328,3.25,5.1,1.569230769
BENNEO,1.945,0.116959,18.6,0.048,1.4,4.57,3.264285714
BENNIR,1.466,0.29343,50.66,0.139,2.4,4.79,1.995833333
BENVOI,1.426,0.201789,25.5,0.089,3.69,4.35,1.178861789
BENZOL,1.25,0.291666,86.37,0.182,3.53,4.71,1.33427762
BENZUR,1.343,0.282935,54.12,0.166,3.54,4.6,1.299435028
BEPBAB,1.144,0.292275,28.01,0.196,3.72,4.29,1.153225806
BEPLUF,1.044,0.441878,839.02,0.345,9.34,9.57,1.024625268
BEPMAM,1.058,0.437146,800.12,0.327,9.2,9.42,1.023913043
BEPMEQ,1.012,0.452958,955.26,0.384,9.74,10.02,1.028747433
BEPMIU,1.021,0.437674,916.52,0.377,9.6,9.83,1.023958333
BEPNIV,1.109,0.330737,595.8,0.239,7.58,7.83,1.03298153
BEPNOB,1.054,0.432641,813.56,0.324,9.17,9.39,1.023991276
BEPNUH,1.165,0.470607,792.05,0.327,9.96,10.2,1.024096386
BEPPAP,1.031,0.428578,896.48,0.369,9.36,9.63,1.028846154
BEPPAQ,2.038,0.179286,32.71,0.068,2.24,4.78,2.133928571
BEPPIX,1.204,0.290342,506.06,0.204,7.13,7.43,1.042075736
BEPPOD,1.119,0.379586,723.57,0.289,9.12,9.31,1.020833333
BEPVAV,1.366,0.203944,6.6,0.122,3.08,4.23,1.373376623
BEPVEZ,1.269,0.306131,371.16,0.201,4.12,5.49,1.332524272
BEPVID,1.305,0.278068,260.21,0.178,3.93,4.97,1.264631043
BEPVOJ01,1.328,0.258783,197.07,0.163,3.66,4.88,1.333333333
BEPVOJ,1.35,0.243176,146.69,0.151,3.47,4.63,1.334293948
BEPXAX,1.573,0.115511,21.36,0.05,1.4,4.57,3.264285714
BEQBOQ,0.726,0.626608,2127.95,0.747,5.04,6.81,1.351190476
BEQSAR,0.929,0.554488,1346.23,0.586,9.72,10.25,1.054526749
BERBEI,2.397,0.152439,8.65,0.053,1.82,4.2,2.307692308
BERGAI,1.496,0.294214,126.38,0.142,2.54,5.08,2
BERNUI,1.415,0.270208,129.99,0.165,1.74,4.91,2.82183908
BERVIF,1.081,0.211242,2.1,0.144,2.94,4.03,1.370748299
BESJEP,1.671,0.398556,130.46,0.215,3.32,5.2,1.56626506
BETZUX,1.175,0.319028,189.33,0.21,1.56,5.09,3.262820513
BEVSUT,1.318,0.495373,216.63,0.387,3.18,4.65,1.462264151
BEVYUX,1.129,0.318252,564.36,0.225,5.85,7.31,1.24957265
BEVZAE,1.117,0.321162,587.24,0.228,6.03,7.53,1.248756219
BEVZUZ,1.357,0.126746,1,0.056,1.45,4.1,2.827586207
BEWBEN,0.773,0.750649,2999.08,0.896,6.12,7.22,1.179738562
BEWKIZ,1.427,0.323047,148.54,0.173,2.16,5.47,2.532407407
BEWSOO,1.119,0.37737,629.24,0.268,4.97,6.29,1.265593561
BEWVIK,0.69,0.735883,3177.88,1.081,6.7,9.07,1.353731343
BEWVUW,0.688,0.736111,3179.49,1.088,6.74,9.11,1.351632047
BEWWUW,1.079,0.414629,641.05,0.296,1.22,6.9,5.655737705
BEXQIF,0.684,0.619257,2585.34,0.938,5.12,7.88,1.5390625
BEXQOL,0.699,0.620566,2522.94,0.922,5.13,7.9,1.539961014
BEXQUR,0.705,0.62466,2500.04,0.911,5.16,7.95,1.540697674
BEXRAY,0.639,0.635314,2932.76,1.044,5.43,7.93,1.460405157
BEXREC,0.665,0.644044,2877.62,1.005,5.36,7.96,1.485074627
BEXRIG,0.672,0.648318,2839.38,0.992,5.37,7.98,1.48603352
BEXRUT,1.31,0.27162,67.01,0.175,2.88,4.53,1.572916667
BEXTIJ,1.457,0.090884,4.03,0.045,1.03,4.12,4
BEYKEX,2.116,0.256291,57.57,0.122,2.45,4.9,2
BEYKOG,1.419,0.206945,108.6,0.111,1.63,4.61,2.828220859
BEYKOH01,1.779,0.486748,202.32,0.257,3.53,5,1.416430595
BEYKOH,1.766,0.48743,223.95,0.259,3.53,5,1.416430595
BEYKUN,1.303,0.535148,865.4,0.42,3.79,5.83,1.538258575
BEYLAU,1.826,0.476479,590.98,0.245,4.77,5.82,1.220125786
BEYSEF,1.179,0.398587,702.48,0.294,4.19,5.17,1.233890215
BIBBAR,1.23,0.11733,9.31,0.074,2.28,4.29,1.881578947
BIBBEV,1.201,0.122613,0.75,0.082,2.66,4.02,1.511278195
BIBQOV,1.616,0.260479,0.82,0.129,3.24,4.1,1.265432099
BICVOZ,1.03,0.50614,281.51,0.392,3.55,6.06,1.707042254
BIDQOU,1.316,0.316297,522.81,0.217,6.52,8.57,1.314417178
BIFJIK,1.3,0.222556,186.34,0.138,4.09,4.54,1.11002445
BIFNUC,1.68,0.385389,326.87,0.199,2.9,6.7,2.310344828
BIFPEO,1.82,0.268366,51.29,0.136,2.7,4.6,1.703703704
BIFWIY,1.106,0.355388,697.2,0.247,5.59,6.26,1.119856887
BIFXOG,1.396,0.085773,11.63,0.044,1.07,4.27,3.990654206
BIFXUL,1.145,0.359984,687.05,0.24,5.91,6.49,1.098138748
BIFYOG,1.149,0.358188,680.22,0.242,5.9,6.36,1.077966102
BIGKUY,0.891,0.546261,967.74,0.589,12.57,13.71,1.090692124
BIHXAT,1.359,0.16562,91.13,0.093,0.95,5.35,5.631578947
BIHXEX,1.359,0.161282,89.71,0.093,0.94,5.29,5.627659574
BIJDUV,0.934,0.503742,1075.52,0.449,4.92,7.44,1.512195122
BIJFAD,1.041,0.308881,566.57,0.254,3.99,6.51,1.631578947
BIJQIV,1.244,0.221654,83.13,0.111,2.52,5.05,2.003968254
BIJROC,0.897,0.496075,961.84,0.456,4.21,8.29,1.96912114
BIJXEA,1.211,0.298879,120.38,0.174,3.06,4.63,1.513071895
BIJYEA,1.054,0.32172,274.75,0.223,2.44,5.22,2.139344262
BIJYOK,1.434,0.22225,172.17,0.117,3.71,4.94,1.331536388
BIJZOL,1.453,0.158473,10.06,0.083,2.34,4.19,1.790598291
BIJZUR,1.452,0.160479,8.4,0.084,2.36,4.22,1.788135593
BIKBAA,1.477,0.162508,7.14,0.084,2.36,4.21,1.783898305
BIKFUW,1.188,0.307675,0.27,0.186,2.03,4.05,1.995073892
BIKHEK,1.157,0.344207,69.66,0.238,2.63,4.29,1.631178707
BIKLIS,1.159,0.419879,278.69,0.272,3.31,5.01,1.513595166
BILCUV,0.72,0.624206,2800.77,0.757,5.62,6.71,1.193950178
BILRIA,1.478,0.382794,184.55,0.216,3.16,5.16,1.632911392
BIMDEJ,1.124,0.33582,429.83,0.227,4.03,5.53,1.372208437
BIMDOR,1.615,0.356524,413.64,0.195,8.22,9.39,1.142335766
BIMVUR,1.357,0.361379,496.71,0.277,3.54,5.9,1.666666667
BIMWAY,1.761,0.18214,211.19,0.092,5.09,6.14,1.206286837
BINPAR,1.572,0.346072,174.9,0.201,3.8,5.07,1.334210526
BINPEV,1.989,0.198304,194.14,0.111,4.12,5.49,1.332524272
BINTEZ,1.055,0.495094,948.32,0.439,4.82,5.95,1.234439834
BIPLIX,1.108,0.470942,977.48,0.379,5.09,6.79,1.333988212
BIPMUL,2.389,0.092783,6.47,0.033,2.16,4.32,2
BIPNAS,2.782,0.144816,50.46,0.047,3.51,4.68,1.333333333
BIQFAL01,1.192,0.272143,26.62,0.273,2.23,4.21,1.887892377
BIQFAL,1.176,0.285441,59.18,0.279,2.25,4.25,1.888888889
BIQHEQ,1.17,0.337629,51.98,0.251,2.45,4.62,1.885714286
BIQHIU,1.607,0.15198,1.45,0.093,1.65,4.17,2.527272727
BIQHUH01,1.114,0.33364,49.55,0.293,2.5,4.27,1.708
BIQHUH,1.095,0.345862,71.26,0.308,2.55,4.35,1.705882353
BIQRIE,2.099,0.352691,6.56,0.094,2.34,4.18,1.786324786
BIRLOF01,1.171,0.309176,11.33,0.191,1.97,4.21,2.137055838
BIRLOF02,1.174,0.310581,9.93,0.19,1.98,4.23,2.136363636
BIRLOF03,1.18,0.30761,8.34,0.189,1.96,4.19,2.137755102
BIRLOF,1.178,0.30745,8.02,0.186,1.96,4.19,2.137755102
BIRMUM,1.287,0.136944,94.22,0.084,3.16,5.16,1.632911392
BISPAX,0.869,0.603472,1771.86,0.589,3.99,5.47,1.370927318
BITDOZ,2.005,0.375704,337.13,0.194,4.02,5.97,1.485074627
BIVTIK,0.497,0.796574,5379.47,1.455,6.46,8.27,1.280185759
BIVVEI,0.755,0.574312,1655.18,0.697,8.94,9.32,1.042505593
BIVXAG,1.673,0.061655,0.11,0.027,1,3.99,3.99
BIWDET,1.536,0.240287,38.25,0.116,1.77,4.48,2.531073446
BIWRUX,1.357,0.2608,15.95,0.151,1.85,4.26,2.302702703
BIWSAE,1.665,0.269893,184.41,0.122,3.16,5.38,1.702531646
BIWWOW,1.713,0.22328,114.14,0.098,1.22,4.88,4
BIXHAT,1.124,0.36152,122.48,0.31,3.3,4.82,1.460606061
BIXHEX,1.09,0.361948,138.49,0.329,3.22,4.87,1.51242236
BIXXUD,3.582,0.116411,42.38,0.024,2.09,6.83,3.267942584
BIXYAK,3.549,0.118086,44.41,0.025,2.13,6.96,3.267605634
BIYGUM,0.749,0.623827,2038.12,0.771,8.14,9.03,1.109336609
BIYKEA,1.593,0.145524,11.31,0.069,1.33,4.34,3.263157895
BIYTEJ,1.386,0.399869,512.39,0.227,5.95,6.25,1.050420168
BIZQUX,1.588,0.170783,18.16,0.082,1.32,4.29,3.25
BOBDII,1.498,0.497627,721.75,0.307,10.87,11.78,1.083716651
BOBFUW,1.774,0.373916,335.56,0.184,3.61,5.66,1.567867036
BOBGIJ,1.436,0.095775,0.4,0.033,1.03,4.11,3.990291262
BOBTOC,1.166,0.372865,505.96,0.266,1.26,5.83,4.626984127
BOCTET,0.873,0.574915,1638.55,0.563,4.66,8.13,1.744635193
BODJEK,1.067,0.275552,4.56,0.181,2.62,4.11,1.56870229
BODJUA,1.113,0.336887,410.1,0.243,3.09,5.99,1.938511327
BODKAH01,1.149,0.220235,67.82,0.118,1.78,4.51,2.533707865
BODYID,1.058,0.515577,635.5,0.409,4.3,5.19,1.206976744
BOFCEG,1.35,0.430243,120.27,0.265,2.8,4.58,1.635714286
BOFGAF,2.238,0.189408,0.68,0.07,1.02,4.08,4
BOFGIP,1.353,0.113803,1.2,0.053,1.76,4.06,2.306818182
BOFGUZ,1.807,0.126117,3.73,0.052,1.04,4.17,4.009615385
BOFTIC,1.357,0.224855,42.73,0.114,1.14,4.54,3.98245614
BOGXIF02,1.169,0.320317,438.59,0.239,1.48,6.82,4.608108108
BOGXIF,1.176,0.319952,431.17,0.237,1.18,6.69,5.669491525
BOGXOL,1.197,0.312096,409.81,0.225,1.16,6.56,5.655172414
BOHJAK,1.35,0.207049,99,0.115,0.88,4.96,5.636363636
BOHMIV,0.51,0.778616,4928.32,1.561,8.78,9.65,1.099088838
BOHNES,1.316,0.525251,903.71,0.379,8.6,9.15,1.063953488
BOHNIW,1.356,0.307663,5.52,0.154,2.61,4.26,1.632183908
BOJCOT,1.121,0.363938,359.18,0.276,3.71,4.95,1.334231806
BOJDEK,0.708,0.781642,2627.18,1.012,9.3,10.47,1.125806452
BOJHOA,1.55,0.143185,1.62,0.056,1.93,4.14,2.14507772
BOJHUG,1.564,0.141513,0.67,0.055,1.91,4.09,2.141361257
BOJJAO,1.585,0.137784,0.14,0.054,1.98,3.97,2.005050505
BOJSUO,1.001,0.720343,3071.4,0.75,6.49,7.34,1.130970724
BOJWOO,1.993,0.198901,6.53,0.066,3.62,4.27,1.179558011
BOJWUU,2.131,0.085139,1.46,0.024,1.06,4.25,4.009433962
BOKFOX,1.177,0.233462,1.5,0.124,1.64,4.15,2.530487805
BOKJES01,0.834,0.612195,2007.42,0.666,7.14,8.08,1.131652661
BOKXAB,1.178,0.220248,18.28,0.114,1.74,4.39,2.522988506
BOKXEF,0.733,0.587375,1852.38,0.705,5.14,6.5,1.26459144
BOKXIJ,1.118,0.381959,57.67,0.252,2.95,4.46,1.511864407
BOKXOP,1.128,0.478237,293.06,0.34,3.66,5.17,1.412568306
BOLFUE,1.223,0.394523,475.51,0.243,4.2,5.59,1.330952381
BOLPIC,1.373,0.298273,361.74,0.162,4.56,6.08,1.333333333
BOLXEH,1.76,0.259829,121.23,0.121,1.15,4.62,4.017391304
BOMHOC01,0.901,0.523931,357.23,0.483,3.24,4.89,1.509259259
BOMHOC,0.901,0.523211,354.01,0.48,3.23,4.89,1.513931889
BOMXEH,1.748,0.160958,95.45,0.084,2.72,5.81,2.136029412
BONMIB,0.954,0.603593,1789.79,0.626,5.55,6.7,1.207207207
BONMOH,1.197,0.457333,609.36,0.375,4.21,5.2,1.235154394
BONNAU,1.734,0.382553,27,0.207,3.44,4.25,1.235465116
BONVEH,1.219,0.547836,342.44,0.339,3.29,4.65,1.41337386
BONWEH,1.717,0.157165,68.82,0.075,3.51,4.69,1.336182336
BOPHEV,1.351,0.307958,0.86,0.188,2.94,4.16,1.414965986
BOPVEI,1.026,0.544728,1618.92,0.513,6.48,7.49,1.155864198
BOQJOI,1.382,0.22148,30.29,0.111,3.49,4.53,1.297994269
BOQVEK,1.289,0.294743,0.83,0.19,2.94,4.03,1.370748299
BOQVOT,1.645,0.151181,0.8,0.066,1.46,4.12,2.821917808
BOQWAG,1.931,0.23668,26.31,0.096,2.4,4.52,1.883333333
BORFEU,0.973,0.632162,1776.17,0.593,6.87,7.7,1.120815138
BOSNAZ,1.117,0.391803,38.75,0.267,2.86,4.33,1.513986014
BOSRUX,1.032,0.553303,923.69,0.557,3.87,5.48,1.416020672
BOVGEA,1.696,0.236838,15.77,0.119,2.7,4.23,1.566666667
BOVGIE,1.721,0.233254,5.26,0.117,2.64,4.14,1.568181818
BOVHEB,1.343,0.267724,139.8,0.142,1.58,5.17,3.272151899
BOVHIF,1.492,0.296878,11.89,0.19,3.24,4.32,1.333333333
BOVHOL,1.514,0.293414,10.32,0.181,3.22,4.29,1.332298137
BOWLOQ,1.64,0.237754,15.92,0.124,2.71,4.25,1.568265683
BOWLUW,1.651,0.234509,6.13,0.124,2.66,4.18,1.571428571
BOWMAD,1.657,0.240504,6.95,0.125,2.77,4.19,1.512635379
BOXBAS,1.299,0.22913,7.12,0.134,3.02,4.27,1.413907285
BOXCEY,1.402,0.281258,40.47,0.127,2.11,4.5,2.132701422
BOXFAW,0.797,0.572963,1411.03,0.658,9.42,17.17,1.822717622
