Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
PEFVIF,1993,1.460,0.304,209.050,0.210,2.720,6.040,2.221,3D,[1.4-1.5),[0.3-0.4),[200-300),[0.2-0.3),[2.6-3.0),[6.0-6.5),[2.0-2.5)
KUDJOI,1993,0.998,0.417,846.100,0.375,3.980,6.370,1.601,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.3-0.4),[3.8-4.0),[6.0-6.5),[1.6-1.8)
JULDAV,1993,0.726,0.569,1954.360,0.741,4.310,5.450,1.265,2D,[0.6-0.8),[0.5-0.6),[1500-2000),[0.6-0.8),[4.0-4.5),[5.3-5.6),[1.2-1.3)
WABMET,1993,0.823,0.495,1705.070,0.567,6.230,6.910,1.109,1D,[0.8-1.0),[0.4-0.5),[1500-2000),[0.5-0.6),[6.0-8.0),[6.5-7.0),[1.1-1.2)
JUBHIX,1993,0.749,0.602,1792.210,0.729,8.140,9.660,1.187,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.1-1.2)
PANVOP,1993,0.764,0.604,1274.660,0.717,11.930,12.450,1.044,1D,[0.6-0.8),[0.6-0.7),[1250-1500),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1)
HAHPAH,1994,1.322,0.076,35.800,0.040,0.880,4.970,5.648,NON-POROUS,[1.3-1.4),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0]
WEFSEF,1994,1.638,0.120,15.050,0.052,1.390,4.550,3.273,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[3.0-4.0)
HAKZOI,1994,1.509,0.177,5.920,0.090,1.520,4.300,2.829,2D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.3-4.4),[2.5-3.0)
VOPLIV01,1994,1.030,0.236,106.560,0.166,1.520,4.950,3.257,2D,[1.0-1.1),[0.2-0.3),[100-150),[0.1-0.2),[1.4-1.6),[4.8-5.0),[3.0-4.0)
HECYUJ,1994,1.217,0.280,62.700,0.188,1.610,4.550,2.826,2D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.5-4.6),[2.5-3.0)
HAMSAP,1994,1.431,0.155,73.130,0.070,1.700,5.540,3.259,1D,[1.4-1.5),[0.1-0.2),[50-100),[0.0-0.1),[1.6-2.2),[5.3-5.6),[3.0-4.0)
PETDIB,1994,1.318,0.215,70.660,0.144,2.080,4.460,2.144,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.0-2.5)
WEGJUN,1994,1.287,0.232,101.380,0.139,2.330,4.660,2.000,1D,[1.2-1.3),[0.2-0.3),[100-150),[0.1-0.2),[2.2-2.6),[4.6-4.8),[2.0-2.5)
HAYPIG,1994,1.468,0.357,0.360,0.192,2.600,4.080,1.569,1D,[1.4-1.5),[0.3-0.4),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.5-1.6)
YARYOF,1994,1.225,0.428,117.620,0.403,3.150,4.600,1.460,1D,[1.2-1.3),[0.4-0.5),[100-150),[0.4-0.5),[3.0-3.3),[4.6-4.8),[1.4-1.5)
HALFAB,1994,1.275,0.251,24.390,0.180,3.440,4.240,1.233,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[3.3-3.6),[4.2-4.3),[1.2-1.3)
