Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
LAYRIM,1994,0.927,0.556,724.550,0.475,3.710,5.090,1.372,1D,[0.8-1.0),[0.5-0.6),[600-800),[0.4-0.5),[3.6-3.8),[5.0-5.3),[1.3-1.4)
YECFAN,1994,1.039,0.495,400.210,0.403,3.870,4.780,1.235,2D,[1.0-1.1),[0.4-0.5),[400-500),[0.4-0.5),[3.8-4.0),[4.6-4.8),[1.2-1.3)
WAMROR,1994,0.715,0.640,722.460,0.811,3.880,5.490,1.415,1D,[0.6-0.8),[0.6-0.7),[600-800),[0.8-1.0),[3.8-4.0),[5.3-5.6),[1.4-1.5)
WAMRIL,1994,0.714,0.625,591.480,0.803,3.890,5.190,1.334,1D,[0.6-0.8),[0.6-0.7),[500-600),[0.8-1.0),[3.8-4.0),[5.0-5.3),[1.3-1.4)
WEJXOY,1994,1.018,0.185,195.100,0.142,4.130,4.770,1.155,1D,[1.0-1.1),[0.1-0.2),[150-200),[0.1-0.2),[4.0-4.5),[4.6-4.8),[1.1-1.2)
HAHWAO,1994,1.284,0.425,453.870,0.319,4.130,4.980,1.206,1D,[1.2-1.3),[0.4-0.5),[400-500),[0.3-0.4),[4.0-4.5),[4.8-5.0),[1.2-1.3)
HATHUF,1994,1.078,0.415,648.920,0.327,4.200,6.130,1.460,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.3-0.4),[4.0-4.5),[6.0-6.5),[1.4-1.5)
WERCAX,1994,0.899,0.405,1035.790,0.400,4.990,6.390,1.281,1D,[0.8-1.0),[0.4-0.5),[1000-1250),[0.4-0.5),[4.5-5.0),[6.0-6.5),[1.2-1.3)
YAPPAG,1994,0.684,0.730,3243.230,1.091,7.050,9.460,1.342,3D,[0.6-0.8),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
VORNAR20,1994,0.311,0.827,4789.160,2.766,11.840,12.520,1.057,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[2.0-7.0],[10.0-72.0],[8.0-72.0],[1.0-1.1)
PODFOD,1995,1.575,0.149,14.250,0.068,1.350,4.410,3.267,2D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[3.0-4.0)
YOBRUC,1995,1.117,0.273,91.290,0.209,1.680,4.240,2.524,1D,[1.1-1.2),[0.2-0.3),[50-100),[0.2-0.3),[1.6-2.2),[4.2-4.3),[2.5-3.0)
LEYNAE,1995,1.286,0.297,26.280,0.171,1.870,4.310,2.305,2D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.0-2.5)
YOCPEL,1995,1.080,0.316,340.280,0.216,2.190,5.050,2.306,1D,[1.0-1.1),[0.3-0.4),[300-400),[0.2-0.3),[1.6-2.2),[5.0-5.3),[2.0-2.5)
LETVUB,1995,1.176,0.229,45.410,0.133,2.760,4.710,1.707,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[4.6-4.8),[1.6-1.8)
YEYLUJ,1995,1.243,0.324,145.110,0.193,2.920,4.980,1.705,1D,[1.2-1.3),[0.3-0.4),[100-150),[0.1-0.2),[2.6-3.0),[4.8-5.0),[1.6-1.8)
LEYMIL,1995,1.387,0.334,125.380,0.201,3.150,4.940,1.568,1D,[1.3-1.4),[0.3-0.4),[100-150),[0.2-0.3),[3.0-3.3),[4.8-5.0),[1.5-1.6)
PIWWAT,1995,1.444,0.223,122.630,0.152,3.220,6.070,1.885,2D,[1.4-1.5),[0.2-0.3),[100-150),[0.1-0.2),[3.0-3.3),[6.0-6.5),[1.8-2.0)
HESJUK,1995,0.871,0.606,191.960,0.673,3.470,4.630,1.334,1D,[0.8-1.0),[0.6-0.7),[150-200),[0.6-0.8),[3.3-3.6),[4.6-4.8),[1.3-1.4)
WINGEF,1995,0.935,0.492,780.230,0.503,3.520,6.460,1.835,2D,[0.8-1.0),[0.4-0.5),[600-800),[0.5-0.6),[3.3-3.6),[6.0-6.5),[1.8-2.0)
WEMPAF,1995,0.902,0.507,554.360,0.496,3.690,5.780,1.566,1D,[0.8-1.0),[0.5-0.6),[500-600),[0.4-0.5),[3.6-3.8),[5.6-6.0),[1.5-1.6)
WIDVUA,1995,1.515,0.343,133.330,0.216,4.080,4.610,1.130,1D,[1.5-1.6),[0.3-0.4),[100-150),[0.2-0.3),[4.0-4.5),[4.6-4.8),[1.1-1.2)
HENVUR,1995,0.885,0.517,1007.630,0.517,4.140,6.370,1.539,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.5-0.6),[4.0-4.5),[6.0-6.5),[1.5-1.6)
WINGUV,1995,0.704,0.679,2341.360,0.860,5.370,6.880,1.281,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[6.5-7.0),[1.2-1.3)
SAHKUH10,1995,0.816,0.615,2215.360,0.666,5.500,7.240,1.316,2D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.3-1.4)
WETRIW,1995,0.784,0.691,2556.500,0.901,5.820,8.570,1.473,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[8.0-10.0),[1.4-1.5)
HESJOE,1995,0.516,0.799,6236.960,1.538,6.020,6.810,1.131,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.5-2.0),[6.0-8.0),[6.5-7.0),[1.1-1.2)
YEZGAL,1995,1.395,0.440,598.270,0.289,6.110,6.780,1.110,1D,[1.3-1.4),[0.4-0.5),[500-600),[0.2-0.3),[6.0-8.0),[6.5-7.0),[1.1-1.2)
POBWIM,1995,0.684,0.664,2924.680,0.904,6.910,8.070,1.168,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2)
HEYTUA,1995,0.603,0.729,3702.970,1.228,7.020,9.300,1.325,3D,[0.6-0.8),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
HEYTOU,1995,0.611,0.732,3631.790,1.222,7.100,9.470,1.334,2D,[0.6-0.8),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
HEYTIO,1995,0.657,0.734,3400.170,1.141,7.110,9.690,1.363,3D,[0.6-0.8),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
YISPUL,1995,0.690,0.544,1273.610,0.746,12.380,12.920,1.044,2D,[0.6-0.8),[0.5-0.6),[1250-1500),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1)
ZURSOU,1996,1.394,0.145,9.830,0.087,1.060,4.250,4.009,3D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[4.0-5.0)
ZUBXEZ,1996,1.515,0.196,21.690,0.088,1.100,4.410,4.009,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[4.0-5.0)
YUDHEK,1996,1.416,0.138,2.800,0.068,1.250,4.070,3.256,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
YONYOP,1996,1.221,0.135,3.100,0.071,1.260,4.120,3.270,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
HIJLIV,1996,1.366,0.164,17.630,0.086,1.510,4.280,2.834,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.2-4.3),[2.5-3.0)
ZITJUH,1996,1.248,0.214,79.820,0.134,1.580,4.480,2.835,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.4-1.6),[4.4-4.5),[2.5-3.0)
ZOLXON,1996,1.289,0.191,20.980,0.103,1.690,4.270,2.527,2D,[1.2-1.3),[0.1-0.2),[0-50),[0.1-0.2),[1.6-2.2),[4.2-4.3),[2.5-3.0)
YIYGOC,1996,1.210,0.268,59.800,0.160,1.710,4.330,2.532,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.5-3.0)
YIYGUI,1996,1.209,0.279,82.070,0.157,1.770,4.480,2.531,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.5-3.0)
ZUNXUB,1996,1.752,0.144,2.920,0.051,1.920,4.100,2.135,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[2.0-2.5)
YUXMUZ,1996,1.420,0.267,4.090,0.152,2.050,4.090,1.995,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[1.8-2.0)
ZEMPIQ,1996,1.925,0.249,138.870,0.092,2.200,6.660,3.027,1D,[1.8-2.0),[0.2-0.3),[100-150),[0.0-0.1),[2.2-2.6),[6.5-7.0),[3.0-4.0)
ZIDYUG,1996,1.345,0.355,103.580,0.218,2.220,4.750,2.140,3D,[1.3-1.4),[0.3-0.4),[100-150),[0.2-0.3),[2.2-2.6),[4.6-4.8),[2.0-2.5)
YUCHAF,1996,0.963,0.389,10.160,0.342,2.570,4.200,1.634,2D,[0.8-1.0),[0.3-0.4),[0-50),[0.3-0.4),[2.2-2.6),[4.2-4.3),[1.6-1.8)
ZUFGUC,1996,1.460,0.201,50.490,0.137,2.590,4.420,1.707,1D,[1.4-1.5),[0.2-0.3),[50-100),[0.1-0.2),[2.2-2.6),[4.4-4.5),[1.6-1.8)
ZEBMUO,1996,1.213,0.139,0.480,0.093,2.600,4.080,1.569,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[2.6-3.0),[3.9-4.2),[1.5-1.6)
ZURRAF,1996,1.251,0.266,2.540,0.191,2.720,4.110,1.511,2D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.5-1.6)
ZOXZIV,1996,1.753,0.281,0.340,0.153,2.800,4.080,1.457,1D,[1.6-1.8),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.4-1.5)
ZURREJ,1996,1.222,0.278,6.380,0.206,2.800,4.230,1.511,2D,[1.2-1.3),[0.2-0.3),[0-50),[0.2-0.3),[2.6-3.0),[4.2-4.3),[1.5-1.6)
ZITWII,1996,1.312,0.283,54.420,0.186,3.040,4.300,1.414,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[3.0-3.3),[4.3-4.4),[1.4-1.5)
ZURMII,1996,0.859,0.359,14.720,0.350,3.050,4.190,1.374,2D,[0.8-1.0),[0.3-0.4),[0-50),[0.3-0.4),[3.0-3.3),[3.9-4.2),[1.3-1.4)
YONZAC,1996,0.983,0.392,374.370,0.353,3.180,5.690,1.789,1D,[0.8-1.0),[0.3-0.4),[300-400),[0.3-0.4),[3.0-3.3),[5.6-6.0),[1.6-1.8)
ZIDPEH,1996,1.153,0.442,469.230,0.315,3.210,5.240,1.632,2D,[1.1-1.2),[0.4-0.5),[400-500),[0.3-0.4),[3.0-3.3),[5.0-5.3),[1.6-1.8)
ZURSUA,1996,1.348,0.185,19.690,0.131,3.340,4.330,1.296,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.1-0.2),[3.3-3.6),[4.3-4.4),[1.2-1.3)
ZUQPIK,1996,1.636,0.209,90.360,0.097,3.350,5.060,1.510,1D,[1.6-1.8),[0.2-0.3),[50-100),[0.0-0.1),[3.3-3.6),[5.0-5.3),[1.5-1.6)
ZEBDAL,1996,0.902,0.517,498.040,0.479,3.490,4.660,1.335,1D,[0.8-1.0),[0.5-0.6),[400-500),[0.4-0.5),[3.3-3.6),[4.6-4.8),[1.3-1.4)
ZUZBAX,1996,1.886,0.460,427.920,0.250,3.510,6.820,1.943,3D,[1.8-2.0),[0.4-0.5),[400-500),[0.2-0.3),[3.3-3.6),[6.5-7.0),[1.8-2.0)
HIFLAJ,1996,0.997,0.374,25.380,0.354,3.610,4.260,1.180,1D,[0.8-1.0),[0.3-0.4),[0-50),[0.3-0.4),[3.6-3.8),[4.2-4.3),[1.1-1.2)
NACVUI,1996,1.158,0.394,209.360,0.307,3.630,4.470,1.231,1D,[1.1-1.2),[0.3-0.4),[200-300),[0.3-0.4),[3.6-3.8),[4.4-4.5),[1.2-1.3)
YONXEE,1996,0.876,0.572,1388.280,0.613,4.330,5.340,1.233,2D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.6-0.8),[4.0-4.5),[5.3-5.6),[1.2-1.3)
ZARQAK,1996,1.313,0.532,1115.140,0.429,5.320,7.770,1.461,1D,[1.3-1.4),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[7.0-8.0),[1.4-1.5)
YUBRUI,1996,0.743,0.750,2709.770,0.866,5.860,6.840,1.167,2D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[5.0-6.0),[6.5-7.0),[1.1-1.2)
ZUZWAS,1996,0.743,0.708,2759.240,0.969,6.510,8.390,1.289,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.2-1.3)
YULHUI,1996,0.828,0.574,1648.220,0.647,8.280,9.180,1.109,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.1-1.2)
RILHUP,1997,1.645,0.144,0.690,0.056,0.720,4.060,5.639,NON-POROUS,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[5.0-12.0]
TIPRIT,1997,1.853,0.206,34.520,0.088,0.860,4.850,5.640,NON-POROUS,[1.8-2.0),[0.2-0.3),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0]
TOCVIQ,1997,1.778,0.195,0.040,0.080,1.020,4.080,4.000,3D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0)
RELKAU,1997,1.298,0.055,12.910,0.026,1.110,4.460,4.018,3D,[1.2-1.3),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[4.0-5.0)
TOGCUN,1997,1.065,0.179,10.560,0.112,1.300,4.260,3.277,3D,[1.0-1.1),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[4.2-4.3),[3.0-4.0)
ROBPON,1997,1.491,0.157,3.320,0.058,1.460,4.120,2.822,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0)
TEPFUP,1997,1.030,0.248,8.720,0.221,1.630,4.120,2.528,2D,[1.0-1.1),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[3.9-4.2),[2.5-3.0)
REJQAY,1997,1.584,0.219,52.640,0.103,1.950,4.510,2.313,1D,[1.5-1.6),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.5-4.6),[2.0-2.5)
TEYRIY,1997,1.106,0.277,46.990,0.177,2.050,4.390,2.141,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.0-2.5)
TOKPAK,1997,1.272,0.383,1.170,0.249,2.050,4.090,1.995,2D,[1.2-1.3),[0.3-0.4),[0-50),[0.2-0.3),[1.6-2.2),[3.9-4.2),[1.8-2.0)
RIZWAY,1997,1.116,0.310,9.740,0.168,2.130,4.270,2.005,1D,[1.1-1.2),[0.3-0.4),[0-50),[0.1-0.2),[1.6-2.2),[4.2-4.3),[2.0-2.5)
RISWUL,1997,0.983,0.250,20.630,0.220,2.390,4.270,1.787,3D,[0.8-1.0),[0.2-0.3),[0-50),[0.2-0.3),[2.2-2.6),[4.2-4.3),[1.6-1.8)
RINPOT,1997,0.993,0.426,38.490,0.360,2.640,4.310,1.633,1D,[0.8-1.0),[0.4-0.5),[0-50),[0.3-0.4),[2.6-3.0),[4.3-4.4),[1.6-1.8)
RIGBEO,1997,1.222,0.331,76.690,0.242,2.760,5.210,1.888,2D,[1.2-1.3),[0.3-0.4),[50-100),[0.2-0.3),[2.6-3.0),[5.0-5.3),[1.8-2.0)
TERQAI,1997,1.254,0.296,219.380,0.180,2.950,5.030,1.705,1D,[1.2-1.3),[0.2-0.3),[200-300),[0.1-0.2),[2.6-3.0),[5.0-5.3),[1.6-1.8)
RODQAC,1997,1.043,0.402,134.900,0.309,3.080,4.490,1.458,2D,[1.0-1.1),[0.4-0.5),[100-150),[0.3-0.4),[3.0-3.3),[4.4-4.5),[1.4-1.5)
RODQEG,1997,1.031,0.406,148.780,0.319,3.090,4.520,1.463,2D,[1.0-1.1),[0.4-0.5),[100-150),[0.3-0.4),[3.0-3.3),[4.5-4.6),[1.4-1.5)
TIPBID,1997,1.033,0.263,269.050,0.184,3.150,4.940,1.568,1D,[1.0-1.1),[0.2-0.3),[200-300),[0.1-0.2),[3.0-3.3),[4.8-5.0),[1.5-1.6)
TUHGUY,1997,1.002,0.277,82.660,0.262,3.230,4.430,1.372,1D,[1.0-1.1),[0.2-0.3),[50-100),[0.2-0.3),[3.0-3.3),[4.4-4.5),[1.3-1.4)
TEJYUC,1997,1.053,0.473,645.730,0.371,3.330,6.270,1.883,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.3-0.4),[3.3-3.6),[6.0-6.5),[1.8-2.0)
NAJSAS,1997,0.974,0.627,743.990,0.590,3.710,6.060,1.633,1D,[0.8-1.0),[0.6-0.7),[600-800),[0.5-0.6),[3.6-3.8),[6.0-6.5),[1.6-1.8)
RIVDEF,1997,1.304,0.310,69.660,0.217,3.770,4.350,1.154,1D,[1.3-1.4),[0.3-0.4),[50-100),[0.2-0.3),[3.6-3.8),[4.3-4.4),[1.1-1.2)
TECSOJ,1997,0.901,0.428,852.940,0.489,4.110,4.850,1.180,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.4-0.5),[4.0-4.5),[4.8-5.0),[1.1-1.2)
TUQDIS,1997,1.111,0.568,1321.280,0.459,4.470,6.050,1.353,1D,[1.1-1.2),[0.5-0.6),[1250-1500),[0.4-0.5),[4.0-4.5),[6.0-6.5),[1.3-1.4)
TINPOV,1997,1.154,0.509,1724.650,0.428,4.500,5.560,1.236,1D,[1.1-1.2),[0.5-0.6),[1500-2000),[0.4-0.5),[4.5-5.0),[5.3-5.6),[1.2-1.3)
REBLUF,1997,1.096,0.549,1741.760,0.485,6.150,6.830,1.111,1D,[1.0-1.1),[0.5-0.6),[1500-2000),[0.4-0.5),[6.0-8.0),[6.5-7.0),[1.1-1.2)
RAPVEJ,1997,0.807,0.700,2641.890,0.881,6.250,8.390,1.342,1D,[0.8-1.0),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.3-1.4)
TIRHIL,1997,0.758,0.733,2986.630,0.983,7.050,9.200,1.305,3D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.3-1.4)
TUNFAJ,1997,0.558,0.783,4019.200,1.348,7.130,9.450,1.325,3D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
RAPVAF,1997,0.795,0.712,2659.630,0.907,7.400,8.250,1.115,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2)
RINNUX,1997,1.190,0.567,1306.450,0.444,8.080,8.670,1.073,1D,[1.1-1.2),[0.5-0.6),[1250-1500),[0.4-0.5),[10.0-72.0],[8.0-10.0),[1.0-1.1)
ROPVAT,1998,1.966,0.176,26.020,0.070,1.100,4.410,4.009,3D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[4.0-5.0)
POQNOY,1998,1.239,0.197,23.770,0.116,1.110,4.420,3.982,3D,[1.2-1.3),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[4.4-4.5),[3.0-4.0)
NEYREO,1998,1.295,0.170,34.990,0.087,1.130,4.530,4.009,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[4.0-5.0)
NUJTUH,1998,1.771,0.144,1.330,0.061,1.260,4.110,3.262,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
NUJVAP,1998,1.971,0.150,15.240,0.052,1.310,4.280,3.267,1D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0)
PITVOD,1998,0.958,0.347,340.960,0.245,1.310,5.250,4.008,1D,[0.8-1.0),[0.3-0.4),[300-400),[0.2-0.3),[0.7-1.4),[5.0-5.3),[4.0-5.0)
NIMPII,1998,2.295,0.220,123.530,0.079,1.390,5.550,3.993,3D,[2.0-7.0],[0.2-0.3),[100-150),[0.0-0.1),[0.7-1.4),[5.3-5.6),[3.0-4.0)
NOCBUC,1998,1.490,0.333,266.040,0.179,1.400,5.590,3.993,3D,[1.4-1.5),[0.3-0.4),[200-300),[0.1-0.2),[1.4-1.6),[5.3-5.6),[3.0-4.0)
NEYRIS,1998,1.279,0.177,42.630,0.093,1.410,4.590,3.255,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.5-4.6),[3.0-4.0)
NEBVOF,1998,1.463,0.203,22.150,0.114,1.510,4.280,2.834,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[1.4-1.6),[4.2-4.3),[2.5-3.0)
NAYBUK,1998,1.265,0.240,22.810,0.147,1.710,4.320,2.526,3D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.5-3.0)
NAWPEG,1998,1.478,0.137,9.730,0.086,1.870,4.310,2.305,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5)
NAWPAC,1998,1.649,0.138,0.340,0.069,1.900,4.060,2.137,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[2.0-2.5)
PAWGOJ,1998,1.375,0.240,20.800,0.139,2.050,4.390,2.141,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.0-2.5)
NICLIU,1998,1.096,0.242,260.820,0.162,2.150,5.430,2.526,1D,[1.0-1.1),[0.2-0.3),[200-300),[0.1-0.2),[1.6-2.2),[5.3-5.6),[2.5-3.0)
ROFPIL,1998,1.763,0.230,82.700,0.118,2.460,4.920,2.000,1D,[1.6-1.8),[0.2-0.3),[50-100),[0.1-0.2),[2.2-2.6),[4.8-5.0),[2.0-2.5)
PAXQIO,1998,2.620,0.158,1.630,0.055,2.530,4.120,1.628,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[3.9-4.2),[1.6-1.8)
NATBIT,1998,1.209,0.389,62.610,0.289,2.550,4.360,1.710,1D,[1.2-1.3),[0.3-0.4),[50-100),[0.2-0.3),[2.2-2.6),[4.3-4.4),[1.6-1.8)
POQXOI,1998,1.120,0.298,104.550,0.190,2.680,4.790,1.787,1D,[1.1-1.2),[0.2-0.3),[100-150),[0.1-0.2),[2.6-3.0),[4.6-4.8),[1.6-1.8)
ROFNAB,1998,1.187,0.144,18.350,0.093,2.790,4.370,1.566,1D,[1.1-1.2),[0.1-0.2),[0-50),[0.0-0.1),[2.6-3.0),[4.3-4.4),[1.5-1.6)
NIZPOB,1998,1.134,0.366,73.920,0.211,2.840,4.650,1.637,3D,[1.1-1.2),[0.3-0.4),[50-100),[0.2-0.3),[2.6-3.0),[4.6-4.8),[1.6-1.8)
NUNSUK,1998,1.245,0.215,19.880,0.101,3.040,4.300,1.414,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[4.3-4.4),[1.4-1.5)
POWQEX,1998,0.992,0.383,22.020,0.307,3.040,4.180,1.375,1D,[0.8-1.0),[0.3-0.4),[0-50),[0.3-0.4),[3.0-3.3),[3.9-4.2),[1.3-1.4)
NUHGOM,1998,1.140,0.250,6.880,0.212,3.070,4.210,1.371,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.2-0.3),[3.0-3.3),[4.2-4.3),[1.3-1.4)
NILHOF,1998,1.136,0.299,105.940,0.198,3.080,4.350,1.412,1D,[1.1-1.2),[0.2-0.3),[100-150),[0.1-0.2),[3.0-3.3),[4.3-4.4),[1.4-1.5)
NOWHIQ,1998,1.264,0.333,250.360,0.231,3.080,5.030,1.633,1D,[1.2-1.3),[0.3-0.4),[200-300),[0.2-0.3),[3.0-3.3),[5.0-5.3),[1.6-1.8)
NONKOQ,1998,1.325,0.219,6.510,0.126,3.110,4.270,1.373,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[4.2-4.3),[1.3-1.4)
NUJXAR,1998,0.993,0.520,763.430,0.491,3.130,5.910,1.888,1D,[0.8-1.0),[0.5-0.6),[600-800),[0.4-0.5),[3.0-3.3),[5.6-6.0),[1.8-2.0)
NIRXUH,1998,1.421,0.343,107.600,0.185,3.170,4.630,1.461,1D,[1.4-1.5),[0.3-0.4),[100-150),[0.1-0.2),[3.0-3.3),[4.6-4.8),[1.4-1.5)
NICZAA01,1998,1.058,0.478,181.570,0.354,3.200,5.020,1.569,2D,[1.0-1.1),[0.4-0.5),[150-200),[0.3-0.4),[3.0-3.3),[5.0-5.3),[1.5-1.6)
NUTCAG,1998,1.098,0.468,484.430,0.356,3.430,6.130,1.787,1D,[1.0-1.1),[0.4-0.5),[400-500),[0.3-0.4),[3.3-3.6),[6.0-6.5),[1.6-1.8)
NASZOW,1998,0.773,0.560,408.520,0.676,3.500,4.810,1.374,3D,[0.6-0.8),[0.5-0.6),[400-500),[0.6-0.8),[3.3-3.6),[4.8-5.0),[1.3-1.4)
RUNZUV,1998,2.468,0.165,21.690,0.056,3.540,4.480,1.266,2D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[3.3-3.6),[4.4-4.5),[1.2-1.3)
NIPVOX,1998,1.283,0.290,236.510,0.196,3.610,4.810,1.332,1D,[1.2-1.3),[0.2-0.3),[200-300),[0.1-0.2),[3.6-3.8),[4.8-5.0),[1.3-1.4)
NECBUS,1998,1.018,0.421,27.950,0.377,3.620,4.270,1.180,1D,[1.0-1.1),[0.4-0.5),[0-50),[0.3-0.4),[3.6-3.8),[4.2-4.3),[1.1-1.2)
PUFRIR,1998,1.046,0.483,472.080,0.388,3.640,5.140,1.412,2D,[1.0-1.1),[0.4-0.5),[400-500),[0.3-0.4),[3.6-3.8),[5.0-5.3),[1.4-1.5)
RORJAJ,1998,1.002,0.526,473.860,0.456,3.810,4.820,1.265,1D,[1.0-1.1),[0.5-0.6),[400-500),[0.4-0.5),[3.8-4.0),[4.8-5.0),[1.2-1.3)
NOCYIN,1998,0.854,0.541,919.070,0.636,3.910,5.720,1.463,2D,[0.8-1.0),[0.5-0.6),[800-1000),[0.6-0.8),[3.8-4.0),[5.6-6.0),[1.4-1.5)
